dmu,women_in_parliament,basic_sanitation,basic_water_source,electricity,employment_rate,material_footprint,forest_area,mean_years_in_school,air_pollution,health_worker,red_list,life_expectancy,income,income_share_20,CO2,murder
Luxembourg_2000,17.3,97.7,100,100,52.1,94.8,35.7,10.3,2.790600061416626,12.56956672668457,0.98,78,99.3,8.4,20,1.24
Moldova_2000,11.2,73.9,83.1,100,49.3,0.05,10.5,9,2.4553000926971436,19.581100463867188,0.94,68.9,5.07,6.9,0.851,11.6
Norway_2000,36.4,98.1,100,100,64.6,31,33.2,12,3.373800039291382,8.668866157531738,0.96,78.9,57.1,9.7,9.46,1.13
Sweden_2000,44.3,98.9,99.4,100,59,21.7,68.6,11.4,3.021399974822998,7.578009128570557,0.99,80,40.6,9.3,6.16,1.01
Austria_2005,25.8,100,100,100,54.8,29.4,46.6,9.9,4.3354997634887695,15.592062950134276,0.89,79.8,49.4,8.8,9.63,0.793
Belgium_2005,34.9,99.5,100,100,48.7,23.9,22.4,10.7,2.852099895477295,15.436351776123049,0.98,79.3,46.3,8.7,11.9,1.49
Cyprus_2005,13.6,99.7,99.9,100,59.7,41.6,18.6,10.7,1.8964999914169312,19.71804428100586,0.99,77.9,37.7,8.9,7.79,1.77
Germany_2005,31.8,99.2,100,100,51.9,20.7,32.6,13.3,3.4314000606536865,14.535208702087402,0.98,79.6,43.9,8.2,10.6,0.543
Denmark_2005,36.9,99.6,100,100,62.7,25,13.6,12.8,3.3333001136779785,12.078428268432615,0.98,78.3,51.5,9.8,9.51,1
Spain_2005,31,99.9,100,100,51.7,30.1,35.7,8.9,3.515899896621704,11.569025039672852,0.85,80.6,38,7,8.37,0.804
Estonia_2005,21.3,99.6,99.3,100,53.9,22.9,54,12.1,3.1401000022888184,8.457242965698242,0.99,73,26.1,7.4,12.6,7.61
Finland_2005,40.3,99.4,100,100,55.5,37.8,73.4,12,2.991300106048584,7.142454624176025,0.99,79.3,44.8,9.5,10.9,1.87
France_2005,15.3,98.7,99.9,100,51.1,21.8,29,10.4,6.632699966430664,14.704505920410156,0.9,80.6,41.6,8.6,6.99,0.674
United Kingdom_2005,18.5,99.1,100,100,58.8,27,12.4,12.2,4.813399791717529,12.537897109985352,0.96,79.3,42.8,6.9,9.46,0.426
Georgia_2005,8.08,88.9,94.5,97.9,55.3,5.21,40.2,12.1,3.8164000511169434,25.627283096313477,0.9,71,7.32,6.2,1.19,1.21
Greece_2005,14.7,98.1,99.8,100,48.4,36,29.1,9.8,4.949399948120117,19.308103561401367,0.84,79.4,34.7,6.9,10.2,0.917
Hungary_2005,9.74,98,100,100,46.5,16.9,22.1,10.9,2.781599998474121,19.466550827026367,0.86,73.1,24.4,7.1,6,1.51
Ireland_2005,14.6,90,97.2,100,62.3,28.2,9.8,11.7,3.5427000522613525,9.922228813171388,0.92,79.1,56.9,7.7,11.6,0.896
Iceland_2005,31.8,98.8,100,100,73.8,55.3,0.372,10,3.6338999271392822,7.842946529388428,0.87,81.6,48.1,9.2,10.1,1.04
Israel_2005,14.4,100,100,100,54.7,21.7,7.09,12.3,7.169300079345703,22.9827938079834,0.72,80.3,30,4.8,8.66,3.24
Italy_2005,14.2,99.9,99.7,100,45.2,23.2,29.6,9.2,7.40339994430542,19.60087776184082,0.9,81,44.3,6.8,8.49,0.83
Lithuania_2005,19.9,86.9,91.9,100,51.5,23.3,33.4,11.8,3.696099996566773,14.46207046508789,0.99,71.3,21.1,6.4,4.22,5.24
Luxembourg_2005,21,97.7,100,100,52.3,102,36.1,11.3,2.599400043487549,12.355535507202148,0.98,79.5,109,8.2,26.5,1.44
Latvia_2005,18.8,88.8,98,100,51.5,13.6,53.2,12.1,2.94320011138916,16.855894088745117,0.99,70.9,20.3,5.9,3.47,9.14
Moldova_2005,21.8,75.3,84.7,98.6,44.9,0.48,10.9,10.4,2.3782999515533447,19.144521713256836,0.94,68.9,7.23,7,1.19,7.5
Netherlands_2005,36,97.9,100,100,59.2,27.5,10.9,11.6,2.699700117111206,14.578018188476564,0.96,79.6,49.5,8.7,10.9,1.04
Norway_2005,37.9,98.1,100,100,62.6,33.4,33.1,12.4,3.6124000549316406,8.359490394592285,0.95,80.4,61.9,9,9.5,0.632
Poland_2005,19.3,91.9,98.1,100,45.3,18.6,30,11.6,2.126699924468994,26.15121841430664,0.96,75.2,18.9,6.4,8.41,1.21
Slovenia_2005,10.4,98,99.5,100,55.4,22.4,61.6,11.7,2.351900100708008,19.422842025756836,0.93,78.1,31.1,9.9,8.5,1.07
Sweden_2005,46.4,99,99.5,100,58.2,27.8,68.5,12.4,3.450900077819824,7.165820121765137,0.99,81,45.4,8.7,5.96,0.896
Australia_2010,29.2,100,99.9,100,62.2,40.8,16.9,12.4,3.342900037765503,10.618879318237305,0.85,82.1,44.9,7.3,18.4,1.01
Austria_2010,29,100,100,100,57.1,30.1,46.8,11.8,4.801599979400635,15.149140357971191,0.89,80.8,51.8,8,8.6,0.428
Belgium_2010,38.9,99.5,100,100,49.5,22.9,22.8,11.1,2.9084999561309814,16.009319305419922,0.98,80.2,48,8.6,10.4,0.981
Bulgaria_2010,22,85.9,99.4,100,47.9,10.7,34.4,10.6,3.7660999298095703,22.756195068359375,0.94,72.3,18.2,6.3,6.44,1.23
Switzerland_2010,26.3,99.9,100,100,63.7,29,31.2,13.3,3.8166000843048096,12.922219276428224,0.97,82.8,65.8,7.8,5.77,0.447
Cyprus_2010,11.4,99.6,99.8,100,60,36.7,18.7,11.5,2.1561999320983887,20.081865310668945,0.99,79.5,38.3,8.6,7.25,0.461
Germany_2010,33.3,99.2,100,100,55.3,20.9,32.7,13.8,3.756700038909912,15.189495086669922,0.98,80.5,47,8.4,10.3,0.561
Denmark_2010,38.7,99.6,100,100,58.6,24.1,13.8,12.7,3.721100091934204,11.929147720336914,0.98,79.5,50.8,9.3,8.86,0.732
Spain_2010,33.7,99.9,100,100,47.5,24.8,37.1,9.4,3.729599952697754,11.349328994750977,0.85,82.1,37.3,6.3,6.04,0.611
Estonia_2010,21,99.3,99.7,100,50.4,24.1,55.1,12.5,3.2421998977661133,8.519848823547363,0.99,76.3,26,7.2,14.3,3.96
Finland_2010,42.2,99.4,100,100,54.8,34.8,73.2,12.3,3.265300035476685,7.19033145904541,0.99,80.4,45.9,9.2,12,1.8
France_2010,20.2,98.7,100,100,51.1,20.9,30,10.9,6.502900123596191,14.845621109008787,0.88,81.6,42.1,7.7,6.2,0.617
United Kingdom_2010,22.3,99.1,100,100,57,22.3,12.6,13.2,5.246200084686279,12.299108505249023,0.96,80.6,42.1,7.3,8.07,0.28
Georgia_2010,9,87.7,95.1,100,52.9,6.62,40.6,12.2,4.446599960327148,26.101238250732425,0.89,71.9,9.74,5.7,1.52,0.321
Greece_2010,18.6,98.6,99.9,100,46.6,30.2,30.3,10.3,5.881199836730957,19.06108856201172,0.84,80.4,33.7,6.7,8.95,1.34
Hungary_2010,9.07,98,100,100,44.9,13.2,22.6,11.9,2.8896000385284424,19.13552474975586,0.86,74.8,24.5,8.2,5.26,1.17
Iceland_2010,42.1,98.8,100,100,69.2,31.3,0.446,10.6,3.5653998851776123,7.856536865234375,0.88,82.6,47.5,9.5,11.3,0.581
Israel_2010,19.3,100,100,100,57.7,22.7,7.12,12.6,6.96750020980835,24.019237518310547,0.72,81.9,33.9,4.7,9.3,2.16
Italy_2010,24.8,99.9,99.8,100,44,22.2,30.7,9.7,7.631999969482422,19.025230407714844,0.9,82.1,42.7,6.4,7.19,0.699
Jordan_2010,12.2,97.8,99,100,36.6,8.4,1.1,9.8,2.232599973678589,33.550567626953125,0.97,76.9,11.3,8.2,2.84,2.67
Japan_2010,18.2,100,98.7,100,57,24,68.5,11.5,2.205899953842163,14.142337799072266,0.8,83.3,38.1,8.2,9.46,0.294
South Korea_2010,14.7,100,99,100,58.5,24.9,65.7,11.8,1.98389995098114,29.80200958251953,0.73,80.8,34.4,7.3,11.4,1.11
Lithuania_2010,21.1,89.6,94.2,100,46.8,26.2,34.6,11.6,3.913800001144409,14.971064567565918,0.99,73.2,23.9,6.5,4.39,3.94
Luxembourg_2010,25.8,97.6,100,100,54.5,99.6,36.5,11.8,2.7683000564575195,12.958784103393556,0.98,81,114,8.2,22.1,1.93
Latvia_2010,19,90.1,98.3,100,47.5,15.2,54.2,12.5,3.075700044631958,17.11506462097168,0.99,73.3,21.2,6.2,4.04,5.18
Moldova_2010,18.8,75.5,86.6,100,38.6,0.69,11.4,11.1,2.3808000087738037,19.11610412597656,0.94,70,8.55,8.1,1.18,6.14
North Macedonia_2010,30.4,92.1,97.2,100,37.8,11.6,38.1,9.1,2.6758999824523926,34.45697021484375,0.97,73.4,13.5,3.7,4.15,1.87
Malta_2010,10.9,100,100,100,46.6,25.9,1.09,10.3,2.1530001163482666,16.449399948120117,0.87,81.1,32.9,8.4,6.12,0.951
Netherlands_2010,40.7,97.8,100,100,61.2,28.1,11.1,12,2.9516000747680664,15.232430458068848,0.95,81,52,9,10.9,0.858
Norway_2010,39.6,98.1,100,100,63.4,34.3,33.1,12.7,4.116700172424316,8.3415069580078125,0.95,81.3,61.4,9.5,9.47,0.742
Poland_2010,21.1,95.3,98.3,100,50.5,21.6,30.5,12.2,2.1707000732421875,27.17650032043457,0.96,76.5,24,7.3,8.71,0.75
Portugal_2010,27.2,98.8,99.6,100,54.5,19.6,35.5,8.1,3.975600004196167,10.076887130737305,0.87,80.2,31.8,7,5,1.1
Romania_2010,10.8,79,100,100,51.1,14.1,28.3,10.7,2.4804000854492188,17.06214714050293,0.86,73.8,20.3,5.7,4.11,1.86
Slovenia_2010,25.9,98,99.5,100,55,23.8,61.9,12.1,2.4367001056671143,18.681655883789063,0.93,79.7,33.4,9.7,8.02,0.352
Sweden_2010,45,99.2,99.7,100,57.7,30,68.4,12.3,3.80270004272461,7.20975923538208,0.99,81.9,47.8,8.6,5.63,0.977
Thailand_2010,15.8,95.4,97.7,99.7,71.3,12.1,39.3,7.7,0.3905999958515167,31.565399169921875,0.81,77,14.4,6.6,3.82,4.79
Turkey_2010,12.9,93.3,95.4,100,42.6,14,27.4,6.7,1.7067999839782717,43.82122802734375,0.88,76.7,20,5.9,4.35,1.45
Austria_2011,29,100,100,100,57.3,31.2,46.8,11.8,4.839799880981445,15.573370933532717,0.89,81,53.2,7.8,8.3,0.509
Belgium_2011,39.9,99.5,100,100,49.3,22.3,22.8,11.2,2.9219000339508057,15.698442459106444,0.98,80.4,48.2,8.6,9.48,1.19
Bulgaria_2011,22.8,85.9,99.4,100,46.6,11.5,34.6,10.7,3.846699953079224,24.30032730102539,0.94,72.7,18.7,6.4,7.2,1.12
Switzerland_2011,26,99.9,100,100,64.5,30.2,31.3,13.3,3.8355000019073486,13.04922103881836,0.97,83,66.3,7.9,5.19,0.487
Cyprus_2011,10.7,99.6,99.8,100,58.2,34.4,18.7,11.6,2.2483999729156494,20.09096336364746,0.99,79.8,37.5,8.4,6.89,2.6
Germany_2011,33.6,99.2,100,100,56.5,21.1,32.7,13.9,3.849100112915039,14.664228439331056,0.98,80.7,49.8,8.4,10,0.492
Denmark_2011,39.1,99.6,100,100,58.1,24.3,14,12.7,3.7808001041412354,12.662331581115724,0.98,79.9,51.3,9.4,7.93,0.789
Spain_2011,34.9,99.9,100,100,46.6,23.3,37.1,9.5,3.8073999881744385,12.03799819946289,0.85,82.3,36.9,6,6.04,0.653
Estonia_2011,19.8,99.3,99.7,100,53.7,25,55.5,12.5,3.2929000854492188,8.442559242248535,0.99,76.3,28,7.3,14.4,4.25
Finland_2011,42.5,99.4,100,100,55.2,35.3,73.3,12.3,3.263499975204468,7.2836995124816895,0.99,80.7,46.8,9.3,10.5,1.81
France_2011,19.9,98.7,100,100,50.9,20.5,30.1,10.9,6.324399948120117,14.878019332885742,0.87,81.8,42.9,7.8,5.78,0.626
United Kingdom_2011,22.6,99.1,100,100,56.8,22.1,12.7,13,5.3144001960754395,12.84799861907959,0.96,80.8,42.4,7.4,7.34,0.292
Georgia_2011,10.5,87.4,95.2,100,54.1,7.37,40.6,12.2,4.500400066375732,26.78360366821289,0.89,72.2,10.5,5.6,1.91,0.358
Greece_2011,19.8,98.7,99.9,100,43.4,28.2,30.3,10.3,5.923399925231934,20.001541137695313,0.84,80.5,30.3,6.1,8.74,1.43
Hungary_2011,9.14,98,100,100,45.2,13.2,22.6,12,2.981100082397461,19.360689163208008,0.86,75.1,25,8.1,5.09,1.19
Ireland_2011,17.1,90.7,97.3,100,52.8,20.5,10.6,10.9,4.093800067901611,10.285079002380373,0.92,80.8,53.3,7.4,8.28,0.568
Iceland_2011,41.3,98.8,100,100,69.1,33,0.453,11,3.4560000896453857,8.098884582519531,0.88,82.8,48.2,9.3,10.8,1.01
Israel_2011,20.6,100,100,100,58.4,23.8,7.22,12.7,6.8968000411987305,23.904685974121097,0.72,82,35.1,4.8,9.17,2.21
Italy_2011,26.1,99.9,99.8,100,44,20.4,30.9,9.8,7.769199848175049,19.99426651000977,0.9,82.2,42.9,6.4,6.95,0.706
Lithuania_2011,22.8,90.1,94.7,100,49,29,34.7,11.8,4.023799896240234,14.509682655334473,0.99,73.7,26,7.1,4.57,4.57
Luxembourg_2011,26.7,97.6,100,100,54.1,109,36.5,11.8,2.761399984359741,12.685996055603027,0.98,81.3,113,7.8,21.4,0.523
Latvia_2011,23,90.3,98.3,100,49.1,17.3,54.3,12.6,3.083699941635132,16.572675704956055,0.99,73.9,22.1,6.4,3.73,4.92
