dmu,country,year,efficiencies,government_debt,life_expectancy
Kyrgyzstan_2010,Kyrgyzstan,2010,0.01387,59.69859,69.6
Kyrgyzstan_2011,Kyrgyzstan,2011,0.01654,50.055759,70.3
Kyrgyzstan_2012,Kyrgyzstan,2012,0.0164,50.477879,70.7
Kyrgyzstan_2013,Kyrgyzstan,2013,0.01757,47.124756,71.2
Kyrgyzstan_2014,Kyrgyzstan,2014,0.01545,53.596786,71.6
Kyrgyzstan_2015,Kyrgyzstan,2015,0.01234,67.087345,71.9
Latvia_2004,Latvia,2004,0.06568,12.603328,71.3
Latvia_2005,Latvia,2005,0.08194,10.102956,70.9
Latvia_2006,Latvia,2006,0.09971,8.302001,70.5
Latvia_2007,Latvia,2007,0.12781,6.4771007,70.9
Latvia_2008,Latvia,2008,0.0538,15.388243,72.1
Latvia_2009,Latvia,2009,0.02634,31.429512,72.9
Latvia_2010,Latvia,2010,0.02116,39.121378,73.3
Latvia_2011,Latvia,2011,0.02277,36.362118,73.9
Latvia_2012,Latvia,2012,0.0232,35.679027,74.2
Latvia_2013,Latvia,2013,0.02345,35.303617,74.2
Latvia_2014,Latvia,2014,0.02169,38.165312,74.7
Latvia_2015,Latvia,2015,0.02417,34.249179,75.1
Lithuania_2004,Lithuania,2004,0.0466,17.765386,72
Lithuania_2005,Lithuania,2005,0.04912,16.85224,71.3
Lithuania_2006,Lithuania,2006,0.05043,16.415211,70.9
Lithuania_2007,Lithuania,2007,0.05521,14.993468,70.6
Lithuania_2008,Lithuania,2008,0.06174,13.408145,71.4
Lithuania_2009,Lithuania,2009,0.03131,26.435192,73
Lithuania_2010,Lithuania,2010,0.02461,33.630711,73.2
Lithuania_2011,Lithuania,2011,0.02436,33.978133,73.7
Lithuania_2012,Lithuania,2012,0.02256,36.69538,74
Lithuania_2013,Lithuania,2013,0.02313,35.789221,74
Lithuania_2014,Lithuania,2014,0.02201,37.619221,74.6
Lithuania_2015,Lithuania,2015,0.02084,39.725591,74.7
Lithuania_2016,Lithuania,2016,0.02212,37.41717,74.9
Luxembourg_2002,Luxembourg,2002,0.32338,2.5599133,78.7
Luxembourg_2003,Luxembourg,2003,0.49779,1.6629881,79
Luxembourg_2004,Luxembourg,2004,0.58978,1.4035904,79.2
Luxembourg_2005,Luxembourg,2005,1,0.82781402,79.5
Luxembourg_2006,Luxembourg,2006,0.74283,1.4623585,79.8
Luxembourg_2007,Luxembourg,2007,1,1.430923,80.2
Luxembourg_2008,Luxembourg,2008,0.3375,8.4765766,80.6
Luxembourg_2009,Luxembourg,2009,0.4091,8.7406867,80.8
Luxembourg_2010,Luxembourg,2010,0.3295,13.022117,81
Luxembourg_2011,Luxembourg,2011,0.44247,12.121016,81.3
Luxembourg_2012,Luxembourg,2012,0.43023,14.127643,81.5
Luxembourg_2013,Luxembourg,2013,0.45752,15.660383,81.7
Luxembourg_2014,Luxembourg,2014,0.5857,15.016739,82
Luxembourg_2015,Luxembourg,2015,0.7255,14.370305,82.3
Malaysia_2007,Malaysia,2007,0.02163,38.272059,74.5
Malaysia_2008,Malaysia,2008,0.02179,37.996907,74.3
Malaysia_2009,Malaysia,2009,0.01706,48.533227,74.2
Malaysia_2010,Malaysia,2010,0.01694,48.865735,74.4
Malaysia_2011,Malaysia,2011,0.01678,49.328117,74.6
Malaysia_2012,Malaysia,2012,0.01626,50.923039,74.8
Malaysia_2013,Malaysia,2013,0.01584,52.256858,75.3
Malaysia_2014,Malaysia,2014,0.01594,51.93807,75.1
Malta_2006,Malta,2006,0.0304,58.823621,80.3
Malta_2007,Malta,2007,0.03767,56.960357,80.4
Malta_2008,Malta,2008,0.05036,56.80226,80.6
Malta_2009,Malta,2009,0.05759,62.094823,80.8
Malta_2010,Malta,2010,0.07598,61.179983,81.1
Malta_2011,Malta,2011,0.07729,64.762233,81.2
Malta_2012,Malta,2012,0.09062,63.129726,81.4
Malta_2013,Malta,2013,0.10563,62.685502,81.6
Malta_2014,Malta,2014,0.13151,58.61662,81.8
Malta_2015,Malta,2015,0.18518,53.364738,82.2
Mexico_1990,Mexico,1990,0.02191,37.789961,70.8
Mexico_1991,Mexico,1991,0.02675,30.946163,71.3
Mexico_1992,Mexico,1992,0.03632,22.79349,71.5
Mexico_1993,Mexico,1993,0.04063,20.375135,71.8
Mexico_1994,Mexico,1994,0.0294,28.156432,72.2
Mexico_1995,Mexico,1995,0.0255,32.458384,72.3
Moldova_1997,Moldova,1997,0.0172,48.136493,68.1
Moldova_1998,Moldova,1998,0.00998,82.933556,68.8
Moldova_1999,Moldova,1999,0.01063,77.867382,68.8
Moldova_2000,Moldova,2000,0.01156,71.590159,68.9
Moldova_2001,Moldova,2001,0.01361,60.816841,69.2
Moldova_2002,Moldova,2002,0.0139,59.555989,69.1
Moldova_2003,Moldova,2003,0.01566,52.874223,69.1
Moldova_2004,Moldova,2004,0.02067,40.051348,69.4
Moldova_2005,Moldova,2005,0.02489,33.256196,68.9
Moldova_2006,Moldova,2006,0.02734,30.279629,69.4
Moldova_2007,Moldova,2007,0.03569,23.195208,69.6
Moldova_2008,Moldova,2008,0.04489,18.442649,69.9
Moldova_2009,Moldova,2009,0.03421,24.197663,70.1
Moldova_2010,Moldova,2010,0.03785,21.872753,70
Moldova_2011,Moldova,2011,0.04253,19.465376,71.7
Moldova_2012,Moldova,2012,0.04122,20.084057,72
Moldova_2013,Moldova,2013,0.04207,19.677884,72.7
Moldova_2014,Moldova,2014,0.04022,20.58009,72.3
Moldova_2015,Moldova,2015,0.03601,22.990335,72.1
Moldova_2016,Moldova,2016,0.02621,31.580362,72.6
Mongolia_2016,Mongolia,2016,0.0105,78.80291,67.8
North Macedonia_2009,North Macedonia,2009,0.03577,23.141917,73
North Macedonia_2010,North Macedonia,2010,0.03496,23.678038,73.4
North Macedonia_2011,North Macedonia,2011,0.03024,27.37466,73.7
North Macedonia_2012,North Macedonia,2012,0.02487,33.282611,73.7
North Macedonia_2013,North Macedonia,2013,0.02447,33.828723,74
Norway_1990,Norway,1990,0.03765,21.9864,76.9
Norway_1991,Norway,1991,0.03675,22.5242,77.2
Norway_1992,Norway,1992,0.03101,26.691043,77.3
Norway_1993,Norway,1993,0.02389,34.646364,77.5
Norway_1994,Norway,1994,0.02559,32.343635,77.8
Norway_1995,Norway,1995,0.02742,30.187128,78
Norway_1996,Norway,1996,0.03065,27.006759,78.3
Norway_1997,Norway,1997,0.03421,24.197785,78.5
Norway_1998,Norway,1998,0.03796,21.80999,78.5
Norway_1999,Norway,1999,0.04049,20.446176,78.7
Norway_2000,Norway,2000,0.04364,18.968423,78.9
Norway_2001,Norway,2001,0.04647,17.815004,79.1
Norway_2002,Norway,2002,0.0444,18.643315,79.3
Norway_2003,Norway,2003,0.04769,20.972559,79.7
Norway_2004,Norway,2004,0.07475,17.989366,80.1
Norway_2005,Norway,2005,0.1278,16.790662,80.4
Norway_2006,Norway,2006,0.20598,12.153637,80.5
Norway_2007,Norway,2007,0.28504,11.290573,80.7
Norway_2008,Norway,2008,0.293,13.423889,80.9
Norway_2009,Norway,2009,0.17984,25.845992,81.1
Norway_2010,Norway,2010,0.21276,25.207497,81.3
Norway_2011,Norway,2011,0.2687,19.95973,81.3
Norway_2012,Norway,2012,0.31797,20.824358,81.6
Norway_2013,Norway,2013,0.39193,19.667891,81.8
Norway_2014,Norway,2014,0.63936,15.45628,82.2
Norway_2015,Norway,2015,0.70682,15.518834,82.4
Poland_2004,Poland,2004,0.01876,44.133707,75
Poland_2005,Poland,2005,0.01778,46.571697,75.2
Poland_2006,Poland,2006,0.01776,46.609152,75.3
Poland_2007,Poland,2007,0.0196,42.233905,75.4
Poland_2008,Poland,2008,0.01867,44.334074,75.6
Poland_2009,Poland,2009,0.01799,46.027347,75.9
Poland_2010,Poland,2010,0.01707,48.509088,76.5
Poland_2011,Poland,2011,0.0168,49.265413,76.8
Poland_2012,Poland,2012,0.01693,48.899406,76.9
Poland_2013,Poland,2013,0.01627,50.890461,77.2
Poland_2014,Poland,2014,0.01816,45.577271,77.6
Poland_2015,Poland,2015,0.01787,46.335296,77.6
Portugal_2003,Portugal,2003,0.01333,62.104721,77.8
Portugal_2004,Portugal,2004,0.01271,65.118583,78.4
Portugal_2005,Portugal,2005,0.01188,69.673995,78.8
Portugal_2006,Portugal,2006,0.01164,71.115551,79.2
Portugal_2007,Portugal,2007,0.01179,70.222027,79.4
Portugal_2008,Portugal,2008,0.01364,73.297012,79.7
Portugal_2009,Portugal,2009,0.0138,84.937326,79.9
Portugal_2010,Portugal,2010,0.01469,97.413964000000007,80.2
Portugal_2011,Portugal,2011,0.02236,111.97857,80.5
Portugal_2012,Portugal,2012,0.02791,128.10436,80.8
Portugal_2013,Portugal,2013,0.03548,131.01413,81.1
Portugal_2014,Portugal,2014,0.04017,133.51058,81.3
Romania_2006,Romania,2006,0.06169,13.418296,72.8
Romania_2007,Romania,2007,0.06361,13.012887,73.4
Romania_2008,Romania,2008,0.06625,12.494512,73.4
Romania_2009,Romania,2009,0.03907,21.185984,73.5
Romania_2010,Romania,2010,0.02895,28.590077,73.8
Romania_2011,Romania,2011,0.02509,32.994656,74.6
Romania_2012,Romania,2012,0.02311,35.815989,74.7
Romania_2013,Romania,2013,0.0227,36.466337,75.3
Romania_2014,Romania,2014,0.02162,38.281426,75
Romania_2015,Romania,2015,0.0221,37.455668,75.3
Romania_2016,Romania,2016,0.02204,37.557934,75.3
Russia_1997,Russia,1997,0.01513,54.7,67.2
Russia_1998,Russia,1998,0.01132,73.1,67.5
Serbia_2012,Serbia,2012,0.01557,53.17339,74.8
Serbia_2013,Serbia,2013,0.01471,56.260668,74.9
Serbia_2014,Serbia,2014,0.01247,66.38604,75
Serbia_2015,Serbia,2015,0.01183,69.972342,75.1
Slovakia_2006,Slovakia,2006,0.02333,35.476365,74.7
Slovakia_2007,Slovakia,2007,0.02381,34.765004,74.7
Slovakia_2008,Slovakia,2008,0.02445,33.850754,75
Slovakia_2009,Slovakia,2009,0.01945,42.568884,75.3
Slovakia_2010,Slovakia,2010,0.01785,46.374143,75.8
Slovakia_2011,Slovakia,2011,0.01698,48.747054,76
Slovakia_2012,Slovakia,2012,0.01431,57.831625,76.3
Slovakia_2013,Slovakia,2013,0.01434,57.721786,76.7
Slovakia_2014,Slovakia,2014,0.01453,56.981987,76.9
Slovenia_2004,Slovenia,2004,0.03426,24.162529,77.4
Slovenia_2005,Slovenia,2005,0.0345,23.993289,78.1
Slovenia_2006,Slovenia,2006,0.03544,23.36004,78.3
Slovenia_2007,Slovenia,2007,0.03926,21.0856,78.6
Slovenia_2008,Slovenia,2008,0.04372,18.935962,79.1
Slovenia_2009,Slovenia,2009,0.02708,30.570756,79.4
Slovenia_2010,Slovenia,2010,0.0306,32.682219,79.7
Slovenia_2011,Slovenia,2011,0.03077,40.899543,80
Slovenia_2012,Slovenia,2012,0.03081,46.440493,80.2
Slovenia_2013,Slovenia,2013,0.04149,60.337067,80.5
Slovenia_2014,Slovenia,2014,0.07758,69.126247,81.3
Slovenia_2015,Slovenia,2015,0.06111,70.211901,81
South Africa_2008,South Africa,2008,0.03443,24.044823,54.3
South Korea_2006,South Korea,2006,0.03047,27.167819,79.3
South Korea_2007,South Korea,2007,0.04094,26.531207,79.8
South Korea_2008,South Korea,2008,0.05544,25.809714,80.2
South Korea_2009,South Korea,2009,0.08718,28.713704,80.5
South Korea_2010,South Korea,2010,0.12652,28.262274,80.8
South Korea_2011,South Korea,2011,0.17261,29.000591,81.2
South Korea_2012,South Korea,2012,0.20591,29.518552,81.5
South Korea_2013,South Korea,2013,0.26691,30.916449,81.9
South Korea_2014,South Korea,2014,0.32395,32.183164,82.3
South Korea_2015,South Korea,2015,0.35919,33.564123,82.6
Spain_1990,Spain,1990,0.02407,34.396451,77
Spain_1991,Spain,1991,0.02306,35.90078,77.1
Spain_1992,Spain,1992,0.02298,36.025401,77.5
Spain_1993,Spain,1993,0.02106,39.308575,77.7
Spain_1994,Spain,1994,0.01688,49.030234,78
Spain_1995,Spain,1995,0.01609,51.45706,78.1
Spain_1996,Spain,1996,0.01505,54.986593,78.3
Spain_1997,Spain,1997,0.01537,53.855313,78.8
Spain_1998,Spain,1998,0.01585,52.225006,79
Spain_1999,Spain,1999,0.01627,50.889013,79.1
Spain_2000,Spain,2000,0.01704,48.593549,79.5
Spain_2001,Spain,2001,0.024140000000000002,45.006153,79.8
Spain_2002,Spain,2002,0.02733,42.902283,79.9
Spain_2003,Spain,2003,0.0315,39.949777,80
Spain_2004,Spain,2004,0.0463,38.622862,80.3
Spain_2005,Spain,2005,0.07996,35.778727,80.6
Spain_2006,Spain,2006,0.13197,32.512593,81
Spain_2007,Spain,2007,0.16884,29.647376,81.2
Spain_2008,Spain,2008,0.17208,33.244367,81.4
Spain_2009,Spain,2009,0.16902,45.605446,81.8
Spain_2010,Spain,2010,0.18175,51.382619,82.1
Spain_2011,Spain,2011,0.17779,58.640146,82.3
Spain_2012,Spain,2012,0.14859,73.820514,82.4
Spain_2013,Spain,2013,0.15134,83.250475,82.7
Spain_2014,Spain,2014,0.15049,87.330945,82.8
Spain_2015,Spain,2015,0.15078,87.165233,82.8
Sweden_1990,Sweden,1990,0.02059,40.209948,78
Sweden_1991,Sweden,1991,0.01966,42.099949,78.1
Sweden_1992,Sweden,1992,0.0155,53.399871,78.3
Sweden_1993,Sweden,1993,0.01212,68.309959,78.5
Sweden_1994,Sweden,1994,0.01137,72.799876,78.8
Sweden_1995,Sweden,1995,0.01098,75.409881,79.1
Sweden_1996,Sweden,1996,0.01046,79.109838,79.3
Sweden_1997,Sweden,1997,0.01028,80.550039,79.5
Sweden_1998,Sweden,1998,0.01146,79.740185,79.6
Sweden_1999,Sweden,1999,0.01454,74.719868,79.8
Sweden_2000,Sweden,2000,0.01891,66.569972,80
Sweden_2001,Sweden,2001,0.02422,59.079976,80.2
Sweden_2002,Sweden,2002,0.03173,56.370087,80.3
Sweden_2003,Sweden,2003,0.04569,54.78998,80.5
Sweden_2004,Sweden,2004,0.0603,53.369925,80.7
Sweden_2005,Sweden,2005,0.08026,53.460091,81
Sweden_2006,Sweden,2006,0.09598,48.430031,81.1
Sweden_2007,Sweden,2007,0.12519,42.840026,81.3
Sweden_2008,Sweden,2008,0.14865,40.889964,81.5
Sweden_2009,Sweden,2009,0.16137,44.40004,81.7
Sweden_2010,Sweden,2010,0.20156,40.939989,81.9
Sweden_2011,Sweden,2011,0.22126,39.750053,82
Sweden_2012,Sweden,2012,0.2307,40.480043,82.1
Sweden_2013,Sweden,2013,0.24206,43.069989,82.3
Sweden_2014,Sweden,2014,0.25169,45.74,82.5
Sweden_2015,Sweden,2015,0.25894,44.46,82.5
Switzerland_1990,Switzerland,1990,0.07546,10.9698,77.9
Switzerland_1991,Switzerland,1991,0.0703,11.774849,78.1
Switzerland_1992,Switzerland,1992,0.05894,14.046077,78.4
Switzerland_1993,Switzerland,1993,0.05003,16.545568,78.7
Switzerland_1994,Switzerland,1994,0.04671,17.721568,79
Switzerland_1995,Switzerland,1995,0.04275,19.365395,78.9
Switzerland_1996,Switzerland,1996,0.04019,20.59549,79.3
Switzerland_1997,Switzerland,1997,0.04113,22.223633,79.6
Switzerland_1998,Switzerland,1998,0.04829,24.27887,79.9
Switzerland_1999,Switzerland,1999,0.05994,22.435581,80.1
Switzerland_2000,Switzerland,2000,0.08092,22.102126,80.3
Switzerland_2001,Switzerland,2001,0.13227,21.628847,80.6
Switzerland_2002,Switzerland,2002,0.15829,24.848591,80.9
Switzerland_2003,Switzerland,2003,0.187,24.856339,81.1
Switzerland_2004,Switzerland,2004,0.2315,24.710942,81.4
Switzerland_2005,Switzerland,2005,0.29277,24.473026,81.7
Switzerland_2006,Switzerland,2006,0.38116,21.649209,81.9
Switzerland_2007,Switzerland,2007,0.50972,19.387388,82.2
Switzerland_2008,Switzerland,2008,0.58943,18.609527,82.4
Switzerland_2009,Switzerland,2009,0.66013,17.439619,82.5
Switzerland_2010,Switzerland,2010,0.79421,16.548175,82.8
Switzerland_2011,Switzerland,2011,0.87519,16.258998,83
Switzerland_2012,Switzerland,2012,0.90988,16.236325,83.1
Switzerland_2013,Switzerland,2013,1,15.859986,83.3
Thailand_1994,Thailand,1994,0.1454,5.6932197,70.9
Thailand_1995,Thailand,1995,0.17957,4.6100947,70.7
Thailand_1996,Thailand,1996,0.22535,3.6734975,70.6
Thailand_1997,Thailand,1997,0.17835,4.6415204,71.7
Thailand_1998,Thailand,1998,0.07758,10.669857,71.8
Thailand_1999,Thailand,1999,0.04138,20.005779,71.4
Thailand_2000,Thailand,2000,0.03769,21.964587,71.8
Thailand_2001,Thailand,2001,0.03368,24.578334,72.8
Thailand_2002,Thailand,2002,0.02753,30.070356,73.1
Thailand_2003,Thailand,2003,0.03061,27.046018,73.6
Thailand_2004,Thailand,2004,0.03393,24.3964,73.7
Thailand_2005,Thailand,2005,0.03394,24.392201,74.8
Thailand_2006,Thailand,2006,0.03559,23.261117,75.4
Thailand_2007,Thailand,2007,0.03662,22.604001,76
Thailand_2008,Thailand,2008,0.03764,21.99186,76.5
Thailand_2009,Thailand,2009,0.03089,26.795897,76.9
Thailand_2010,Thailand,2010,0.0298,27.779262,77
Thailand_2011,Thailand,2011,0.03031,27.315354,77.4
Thailand_2012,Thailand,2012,0.02909,28.457899,77.7
Thailand_2013,Thailand,2013,0.02794,29.632393,78
Thailand_2014,Thailand,2014,0.02769,29.890917,78.1
Thailand_2015,Thailand,2015,0.0258,32.090099,78.2
Thailand_2016,Thailand,2016,0.02709,30.557332,78
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.01735,47.708453,69.6
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.01673,49.477126,69.9
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.01684,49.151961,69.7
Tunisia_2009,Tunisia,2009,0.01775,46.646663,76
Turkey_2009,Turkey,2009,0.01885,43.924976,76.8
Turkey_2010,Turkey,2010,0.02039,40.606345,76.7
Turkey_2011,Turkey,2011,0.02241,36.946367,76.8
Turkey_2012,Turkey,2012,0.02457,33.696359,77
Turkey_2013,Turkey,2013,0.02575,32.147857,77
Turkey_2014,Turkey,2014,0.02777,29.80767,77.1
Turkey_2015,Turkey,2015,0.02869,28.849977,77.4
Ukraine_1995,Ukraine,1995,0.02745,30.151822,67
Ukraine_1996,Ukraine,1996,0.03397,24.36603,67.3
Ukraine_1997,Ukraine,1997,0.02865,28.891838,67.9
Ukraine_1998,Ukraine,1998,0.01779,46.537364,68.7
Ukraine_1999,Ukraine,1999,0.01404,58.958849,68.3
Ukraine_2000,Ukraine,2000,0.0189,43.789532,68
Ukraine_2001,Ukraine,2001,0.02256,36.690025,68.2
Ukraine_2002,Ukraine,2002,0.02465,33.579563,68.1
Ukraine_2003,Ukraine,2003,0.02818,29.380226,68.3
Ukraine_2004,Ukraine,2004,0.03338,24.798092,68
United Kingdom_1990,United Kingdom,1990,0.03033,27.293248,75.8
United Kingdom_1991,United Kingdom,1991,0.03007,27.530958,76.1
United Kingdom_1992,United Kingdom,1992,0.02575,32.144822,76.3
United Kingdom_1993,United Kingdom,1993,0.02251,36.770551,76.4
United Kingdom_1994,United Kingdom,1994,0.02095,39.510751,76.7
United Kingdom_1995,United Kingdom,1995,0.01947,42.518005,76.8
United Kingdom_1996,United Kingdom,1996,0.01936,42.74837,77
United Kingdom_1997,United Kingdom,1997,0.01951,42.421749,77.3
United Kingdom_1998,United Kingdom,1998,0.02053,40.324213,77.5
United Kingdom_1999,United Kingdom,1999,0.0212,39.056814,77.6
United Kingdom_2000,United Kingdom,2000,0.02277,36.361712,78
United Kingdom_2001,United Kingdom,2001,0.02461,33.638476,78.3
United Kingdom_2002,United Kingdom,2002,0.02452,33.767264,78.5
United Kingdom_2003,United Kingdom,2003,0.02379,34.799807,78.6
United Kingdom_2004,United Kingdom,2004,0.022,37.631304,79
United Kingdom_2005,United Kingdom,2005,0.02136,38.746682,79.3
United Kingdom_2006,United Kingdom,2006,0.02092,39.573909,79.5
United Kingdom_2007,United Kingdom,2007,0.02678,40.568986,79.8
United Kingdom_2008,United Kingdom,2008,0.02598,48.442136,80
United Kingdom_2009,United Kingdom,2009,0.02869,62.326826,80.3
United Kingdom_2010,United Kingdom,2010,0.03903,73.304309,80.6
United Kingdom_2011,United Kingdom,2011,0.04525,79.022565,80.8
United Kingdom_2012,United Kingdom,2012,0.04785,82.207423,80.9
United Kingdom_2013,United Kingdom,2013,0.05154,83.247769,81
United Kingdom_2014,United Kingdom,2014,0.05461,85.123467,81.1
United Kingdom_2015,United Kingdom,2015,0.05004,85.752857,81
United States_1990,United States,1990,0.01653,50.079413,75.7
United States_1991,United States,1991,0.01546,53.553833,75.9
United States_1992,United States,1992,0.01484,55.797709,76
United States_1993,United States,1993,0.01442,57.389579,75.9
United States_1994,United States,1994,0.0146,56.698261,76
United States_1995,United States,1995,0.01469,56.353742,76.1
United States_1996,United States,1996,0.01486,55.722561,76.4
United States_1997,United States,1997,0.01559,53.095523,76.8
United States_1998,United States,1998,0.01653,50.067424,76.9
United States_1999,United States,1999,0.01767,46.851469,76.9
United States_2000,United States,2000,0.02,41.383999,77
United States_2001,United States,2001,0.02036,40.663216,77.1
United States_2002,United States,2002,0.01965,42.124274,77.2
United States_2003,United States,2003,0.01853,44.676876,77.3
United States_2004,United States,2004,0.0182,45.47616,77.7
United States_2005,United States,2005,0.01815,45.612806,77.7
United States_2006,United States,2006,0.01847,44.827463,78
United States_2007,United States,2007,0.01833,45.16842,78.2
Venezuela_1990,Venezuela,1990,0.01309,63.261968,72.4
Venezuela_1991,Venezuela,1991,0.01331,62.191092,72.9
Venezuela_1992,Venezuela,1992,0.0151,54.805706,72.9
Venezuela_1993,Venezuela,1993,0.01434,57.746981,72.8
Venezuela_1994,Venezuela,1994,0.01296,63.891448,72.3
