dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Denmark_1998,Denmark,1998,0.87501,11.6,21.6,446.23,76.7,46.1,10.4,99.999123,10.52,5.97018041346794,18.900198274520108,390.45534611292175,78.02678804305813,46.1,10.64845771116405,99.99912299996251,Europe
Denmark_1999,Denmark,1999,0.89061,11,21.5,440.53,76.7,47.3,10.6,99.99898,10.46,6.105982797588925,19.14814728938108,392.34108490190914,78.46883792909472,47.30000000000001,10.600000000000001,99.99897999998393,Europe
Denmark_2000,Denmark,2000,0.87909,10.2,23.2,428.1,77.2,48.9,10.7,99.99887,10.4,6.4697442801454415,20.39494439081924,376.3394695564532,79.57968135502107,48.9,10.7,99.99887000000115,Europe
Denmark_2001,Denmark,2001,0.90878,10.4,21.5,444.36,77.3,49.1,11.4,99.999167,10.2,7.267584668315191,19.538762640455026,403.825328693609,79.96174800013839,49.1,11.400000000000002,99.99916700000139,Europe
Denmark_2002,Denmark,2002,0.8998,10.3,22.6,447.52,77.4,49.2,12.1,99.999105,10,8.037577272327448,20.33547579302813,402.6784126942494,80.60553245334091,49.19999999999527,12.099999999993429,99.99924247016197,Europe
Denmark_2003,Denmark,2003,0.91904,11.3,22.8,449.457,77.7,49.3,12.8,99.99889,9.8,8.850191244557793,20.95405162615821,413.06777112864165,80.68450288964738,49.29999999999591,12.799999999994316,99.99937411292291,Europe
Denmark_2004,Denmark,2004,0.90382,10.2,23.9,453.5,78,50.4,12.8,99.999372,9.9,8.933510653619688,21.601247810614023,409.8814176616172,80.91688321031964,50.4,12.8,99.9994702401282,Europe
Denmark_2005,Denmark,2005,0.90524,9.51,25,445.14,78.3,51.5,12.8,99.999,9.8,8.500680021632734,22.630910566208502,402.9569411776573,81.08539402637705,51.50000000000001,12.8,99.99944369444984,Europe
Denmark_2006,Denmark,2006,0.89901,10.9,26.2,449.157,78.5,53.3,12.8,99.999299,9.8,8.00786420808508,23.554006434210404,403.79568198359806,81.30228357851922,53.300000000000004,12.800000000000002,99.99941635061847,Europe
Denmark_2007,Denmark,2007,0.86372,10,28.1,446.3,78.7,53.6,12.5,99.999186,9.8,7.535434029547646,24.270634330603777,385.4798612721847,81.41726539913044,53.6,12.5,99.99939320644329,Europe
Denmark_2008,Denmark,2008,0.87213,9.33,27.9,449.38,79,53,12.9,99.999202,9.8,7.903377542184107,24.33243987771659,391.9179868189228,81.32637644585492,53,12.900000000000002,99.99940344411367,Europe
Denmark_2009,Denmark,2009,0.88255,8.84,25.4,448.83,79.2,50.1,12.7,99.999198,9.2,7.801753341336316,22.41680258710021,396.1154923291044,80.76987961249081,50.099999999993635,12.699999999991167,99.99920977641256,Europe
Denmark_2010,Denmark,2010,0.90569,8.86,24.1,453.65,79.5,50.8,12.7,99.999268,9.3,8.024456131734777,21.827245234176996,410.8684564516345,80.81281436442778,50.8,12.700000000000001,99.9992679999898,Europe
Denmark_2011,Denmark,2011,0.92099,7.93,24.3,446.06,79.9,51.3,12.7,99.999211,9.4,7.303457552158734,22.38007799715728,410.81718483176854,80.76164404158553,51.3,12.7,99.99921099997943,Europe
Denmark_2012,Denmark,2012,0.98265,7.11,24.2,455,80.3,51.2,12.8,99.999688,9.3,6.642978012481416,23.78017398523153,443.82899440969027,81.43744927029027,51.2,12.8,99.99968799998393,Europe
Denmark_2013,Denmark,2013,0.97565,7.41,24.1,449.802,80.5,51.5,13.2,99.999619,9.1,7.229588485310192,23.513236504180245,438.85065585283337,81.06489059041479,51.5,13.2,99.99961899995711,Europe
Denmark_2014,Denmark,2014,0.9498,6.63,24.2,448.14,80.8,52,12.8,99.999364,9.1,6.2971598382316705,22.98510830847759,425.64241474890457,80.8,52.00000000000001,12.800000000000002,99.99936399996523,Europe
Denmark_2015,Denmark,2015,0.95169,6.19,24.3,449.389,81,52.9,12.5,99.999428,9.4,5.890989591024708,23.12617884683367,427.68108583538003,81,52.90000000062267,12.5,99.99942799996458,Europe
Egypt_2004,Egypt,2004,1,2.01,4.19,448.41,68.5,8.18,5.4,99.999889,9,2.0099999959298427,4.189999991515445,448.40999725632685,68.50000010339353,8.180000000000001,5.4000002826267695,99.99988899993598,Africa
Egypt_2005,Egypt,2005,0.99239,2.19,4.7,444,68.8,8.4,5.6,99.999868,9.05,2.104141331630728,4.664228161481293,440.620702914403,68.8,8.585388413167493,5.6,99.999867999938445,Africa
Egypt_2006,Egypt,2006,0.99379,2.29,5.02,440.65,68.9,8.81,5.8,99.999872,9.1,2.1516348746940945,4.988847664795653,437.9154827673715,68.9644329190443,8.87700823431604,5.8,99.99987199993731,Africa
Egypt_2007,Egypt,2007,1,2.38,5.26,441.12,69.2,9.28,6,99.999897,9.15,2.3799996954925415,5.259999876868567,441.1199896738142,69.19999999999999,9.280000000000001,6,99.99989699995679,Africa
Egypt_2008,Egypt,2008,1,2.45,5.62,444.17,69.3,9.76,6.2,99.9999172,9.2,2.449999703514527,5.620000013143535,444.17000029847776,69.30001038160249,9.760000941258296,6.200000129021962,99.99991726773517,Africa
Egypt_2009,Egypt,2009,0.98355,2.5,5.7,446.45,69.3,10,6.4,99.99988633333332,9.3,2.3865821735782764,5.606240027379702,439.1062915289738,71.24805476452704,10.000000640707764,6.400000407006983,99.99989289791046,Africa
Egypt_2010,Egypt,2010,0.98826,2.4,5.26,447.08,69.4,10.3,6.5,99.99985546666666,9.4,2.33083067575426,5.1982673250570794,441.8329573548515,70.46345160191959,10.299999999999999,6.500000000000002,99.99985546664112,Africa
Egypt_2011,Egypt,2011,0.9876,2.53,4.98,450.205,69.6,10.3,6.7,99.9998246,9.6,2.3668510557061198,4.9182341804585405,444.6212086773768,69.70941001422365,10.3,6.910279218410947,99.99982459999072,Africa
Egypt_2012,Egypt,2012,0.98107,2.49,5.15,449,69.7,10.3,6.8,99.99979373333332,9.8,2.4409827476591754,5.052491241364811,440.49875094617454,69.69999999999999,10.3,7.011040834188906,99.99979373332354,Africa
Egypt_2013,Egypt,2013,0.99209,2.37,4.93,448.55,70.1,10.3,6.9,99.99976286666669,9.566666666666666,2.3512559928847265,4.8910093016547265,445.00247915968106,70.1,10.3,6.980074304651797,99.99976286665651,Africa
Egypt_2014,Egypt,2014,0.99341,2.47,4.88,448.49,70.3,10.4,7,99.999732,9.333333333333334,2.453720771683063,4.847837138401638,445.53408733650355,70.30000162305063,10.400001125532608,7.305429929133002,99.99973403898011,Africa
Egypt_2015,Egypt,2015,1,2.37,4.88,447.9,69.9,10.6,7.1,99.999834,9.1,2.37,4.88,447.9,69.9,10.6,7.1,99.999834,Africa
El Salvador_1991,El Salvador,1991,0.99023,0.591,4.47,449.521,70.1,5.29,3.8,99.9565375,2.6,0.5852272656627026,3.9917725226011145,445.13019574949675,71.79940759705909,5.29,8.973700912407779,99.9705035822344,Americas
El Salvador_1992,El Salvador,1992,0.99073,0.613,3.5,449.737,70.8,5.59,3.9,99.9566,2.875,0.6073165021258445,3.467549359609226,445.56721324073555,70.80000000000956,5.590000000000755,9.404101952126572,99.98421851726155,Americas
El Salvador_1993,El Salvador,1993,0.96968,0.725,3.82,449.754,70.9,5.83,4,99.9464,3.1500000000000004,0.7030153490387723,3.362697220917262,436.11581419528454,70.9,5.830000000000002,9.334498195996808,99.9964418210372,Americas
Estonia_2003,Estonia,2003,0.75626,12.5,18.9,439.5,72.1,22.1,11.9,99.99007,6.1,4.335354220868508,14.293261608792122,332.37505169647505,75.92663517127137,22.1,11.900000000000002,99.9980160402241,Europe
Estonia_2004,Estonia,2004,0.74724,12.7,20.5,441.05,72.5,23.7,12,99.99326,7.1,4.6931759375954725,15.318462677832068,329.5711202160355,76.29938614617231,23.700000000293436,12.000000000621634,99.99825369601714,Europe
Estonia_2005,Estonia,2005,0.74531,12.6,22.9,428.3,73,26.1,12.1,99.99239,7.4,5.235147200049056,17.067704988642458,319.21825533071734,76.90549996137744,26.100000000300824,12.100000000637273,99.99860862911734,Europe
Estonia_2006,Estonia,2006,0.72635,12.2,24.9,439.7,73.3,28.8,12.2,99.99375,7.5,5.794862674033569,18.08615806853912,319.37685555126876,77.45322612138995,28.80000000030615,12.20000000064857,99.99873864367764,Europe
Estonia_2007,Estonia,2007,0.67858,14.9,29.9,436.5,73.3,31.1,12.2,99.99372,8,6.344640091057191,20.289560060901465,296.2004336851571,78.15560514362579,31.100000000303833,12.200000000645332,99.99903232981627,Europe
Estonia_2008,Estonia,2008,0.7098,13.3,27.1,441.88,74.4,29.6,12.3,99.99422,7.8,5.888089321137656,19.235699541082177,313.64837318132703,77.68344102099837,29.60000000000001,12.3,99.99895598999849,Europe
Estonia_2009,Estonia,2009,0.75475,10.9,23.9,440.49,75.2,25.3,12.4,99.99498,7.7,5.50445451074722,18.03854722174824,332.4602370589072,77.21295189616046,28.060207191441705,12.4,99.99888456581019,Europe
Estonia_2010,Estonia,2010,0.77149,14.3,24.1,436.7,76.3,26,12.5,99.99604,7.2,5.860325572332542,18.592793135235027,336.9075834919974,77.55562384355756,29.960054704804882,12.5,99.99893949159744,Europe
Estonia_2011,Estonia,2011,0.75265,14.4,25,445.18,76.3,28,12.5,99.99575,7.3,5.943738376658844,18.816270674950296,335.0650951629098,77.65393808968058,30.381086565964246,12.5,99.99895440186792,Europe
Estonia_2012,Estonia,2012,0.75224,13.6,25.4,442.24,76.5,29,12.5,99.995590000000007,7.3,6.052190481364413,19.106832894165883,332.669518862739,77.78176483043033,30.92850601624827,12.500000000000002,99.99897378797162,Europe
Estonia_2013,Estonia,2013,0.73796,14.9,28,445.63,77.2,29.5,12.6,99.99639,6.8,6.781987264400135,20.662891430294255,328.8572967170908,78.56516318313568,34.715769301202315,12.6,99.9990955539756,Europe
Estonia_2014,Estonia,2014,0.73511,14.4,28.6,443.31,77.3,30.5,12.6,99.9973,7,6.916782386586137,21.0240312158948,325.879834906148,78.72403904067679,35.39615694225804,12.599999999999998,99.99911964895529,Europe
Estonia_2015,Estonia,2015,0.74305,12.1,28,453.13,77.8,31,12.7,99.99726,7.5,6.984193236555692,20.80544160471289,336.698919797854,78.72671824394476,35.839981717284914,12.7,99.99912301172458,Europe
Finland_1990,Finland,1990,0.7621,11.4,19.9,449.426,75.4,32.9,7.46,99.99699,10.725,4.471834537647385,15.165726764061105,342.50612646582897,76.23773012712732,32.90000000000482,10.463633288944823,99.9971135251615,Europe
Finland_1991,Finland,1991,0.76503,11,18.7,450.182,75.7,30.8,7.7,99.99717,10.7,4.214194640764523,14.306009736300092,344.4015013426229,76.36420317868966,30.800000000000004,10.620705132943057,99.99717000000035,Europe
Finland_1992,Finland,1992,0.61807,10.8,27.4,449.648,76,29.6,7.9,99.99677,10.725,4.565532878038376,16.935122514466993,277.9140134448385,76.40016697607399,29.600000000002417,10.388870756492935,99.99722757296703,Europe
Finland_1993,Finland,1993,0.6714,11.1,23.4,449.032,76.3,29.3,8.2,99.99689,10.75,4.3606368069773795,15.710758273403256,301.4800516677037,76.30000000000953,29.30000000000118,10.484902588730266,99.9969865329866,Europe
Finland_1994,Finland,1994,0.66336,12.1,24.6,449.731,76.8,30.3,8.4,99.99698,10.775,4.476902743352598,16.318684388745076,298.3340751559432,76.80000000000925,30.30000000000114,10.526116757834156,99.99731485469215,Europe
Finland_1995,Finland,1995,0.67724,11.4,24.4,448.92,76.9,31.5,8.6,99.99715,10.8,4.566860113670868,16.524681592200483,304.0270516545784,76.90000000000671,31.500000000000824,10.504821479266937,99.9973491004983,Europe
Finland_1996,Finland,1996,0.69096,12.5,24.1,449.43,77.2,32.5,8.8,99.99674,10.56,4.6203159009846155,16.652088469589323,310.53726642689264,77.2000000000037,32.50000000000046,10.545895988066174,99.99754844385448,Europe
Finland_1997,Finland,1997,0.70912,12.2,24.1,448.07,77.3,34.5,8.9,99.99751,10.32,4.7896614237940085,17.089756351955856,317.7347356274499,77.30000000000433,34.50000000000054,10.48392046978001,99.99754852314317,Europe
Finland_1998,Finland,1998,0.70411,11.5,25.8,440.66,77.6,36.3,9,99.99778,10.08,5.0368886063226315,18.16613732043616,310.27480897765105,77.6,36.3,10.415263012326164,99.99778000000026,Europe
Finland_1999,Finland,1999,0.66216,11.4,29.5,444.24,77.8,37.8,9.2,99.99752,9.84,5.311431977016856,19.533730185303305,294.1581117805984,77.9354109814517,37.80000000000545,10.327349407551502,99.99795152180448,Europe
Finland_2000,Finland,2000,0.68101,11,29.6,439.3,78,39.9,9.3,99.99741,9.6,5.496683339130052,20.15797580881031,299.1688774601495,78.3171496119283,39.90000000000642,10.313052247069479,99.99813098301607,Europe
Finland_2001,Finland,2001,0.63357,12,33.6,447.51,78.4,40.8,9.4,99.99737,9.533333333333331,5.696751401608932,21.288012898892923,283.5297217973111,78.71981079650425,40.80000000000341,10.276433986818116,99.99833209772382,Europe
Finland_2002,Finland,2002,0.63074,12.5,34.4,444.23,78.6,41.4,9.5,99.99749,9.466666666666669,5.7820215816199685,21.69752267049202,280.1944911605494,78.89294759937883,41.40000000000562,10.264177414753398,99.998416659162,Europe
Finland_2003,Finland,2003,0.61244,13.9,36.5,446.52,78.8,42.2,9.6,99.99828,9.4,5.91118550474554,22.35410763903092,273.46729158873814,79.15444375183611,42.20000000000001,10.2439264190837,99.99854533033556,Europe
Finland_2004,Finland,2004,0.64294,13.2,37.3,446.57,79,43.7,11.9,99.99769,9.4,8.142124881735622,23.98169189233285,287.11807368231797,80.59919527323551,43.69999999999584,11.899999999994213,99.99934832778523,Europe
Finland_2005,Finland,2005,0.65524,10.9,37.8,444.7,79.3,44.8,12,99.99813,9.5,7.14206839121357,24.767906897972374,291.38328564863804,80.57382556266349,44.79999999999533,11.99999999999351,99.99912885878331,Europe
Finland_2006,Finland,2006,0.652,13,38.7,447.86,79.6,46.4,12,99.99816,9.2,7.8052494499639895,25.232238917150205,292.0028558510155,80.96818779429786,46.400000000000006,11.999999999999996,99.99939309581134,Europe
Finland_2007,Finland,2007,0.66276,12.6,39.9,441.43,79.7,48.7,12,99.9979,9.2,7.166433969297567,26.44394908047849,292.5602115938609,81.24781204667867,48.70000000000001,12.00000000000018,99.99935747621375,Europe
Finland_2008,Finland,2008,0.6763,11,39.1,443.21,80,48.8,12.2,99.99788,9.3,7.307787576683811,26.443448635289784,299.7442677658927,81.23229105652463,48.8,12.20000000000012,99.99936151589226,Europe
Finland_2009,Finland,2009,0.67213,10.5,36.3,453.48,80.2,44.7,12.2,99.99823,9.3,7.057409442550819,24.398472644250166,304.7994318099858,80.43208770513037,44.699999999994006,12.199999999991666,99.99904154302823,Europe
Finland_2010,Finland,2010,0.6995,12,34.8,445.1,80.4,45.9,12.3,99.9982,9.2,8.352326810875187,24.34271729805199,311.3489502690412,80.82367379465164,45.900000000000006,12.3,99.99942076398499,Europe
Finland_2011,Finland,2011,0.70114,10.5,35.3,452.18,80.7,46.8,12.3,99.99819,9.3,7.3620016758915785,24.75034849133415,317.042849314388,80.75412240318998,46.79999999999306,12.299999999990366,99.99919499909788,Europe
Finland_2012,Finland,2012,0.72232,9.47,35,448.09,80.9,46,12.4,99.99866,9.4,6.840353047144847,25.281135865899643,323.66354771859915,80.9,46.00000000000001,12.400000000000635,99.99934372304388,Europe
Finland_2013,Finland,2013,0.71893,9.52,35.5,451.81,81.2,45.3,12.3,99.9986,9.3,6.844172250658696,25.521860808653752,324.81780090022113,81.20000000000002,45.3,12.30000000000062,99.99926801519678,Europe
Finland_2014,Finland,2014,0.74992,8.73,35.1,443.62,81.4,45,12.4,99.9986,9.4,6.546763525615825,26.32203891742445,332.67757562814336,81.40000000000002,47.30664931950385,12.4,99.99916446950684,Europe
France_1990,France,1990,0.86586,7.08,17,448.96,77.2,33.7,7.33,99.99896,7.6,5.824128406516137,14.719694297629225,388.73846775668324,77.20000000000002,33.7,10.722946951110478,99.99896000000061,Europe
France_1991,France,1991,0.85894,7.5,17.4,448.81,77.4,33.9,7.5,99.99895,7.7,5.812338094671103,14.9455770073514,385.5014032568609,77.4,33.9,10.682392899110884,99.99894999999958,Europe
France_1992,France,1992,0.80941,7.28,19.9,448.44,77.6,34.3,7.8,99.999019,7.8,5.892506958393924,16.10726490000537,362.97195335469394,77.6,34.29999999999999,10.592770308884402,99.9990190000002,Europe
France_1993,France,1993,0.82933,6.9,18.8,448.43,77.8,33.9,8.1,99.99895,7.9,5.722379773125451,15.591411555762106,371.89663212502114,77.79999999999998,33.9,10.487778735138344,99.99894999999762,Europe
France_1994,France,1994,0.83261,6.79,18.9,448.87,78,34.6,8.4,99.9989,8,5.653400845605035,15.736270394983089,373.73225884635235,78.0000000000012,34.6,10.41582593343919,99.99889999999661,Europe
France_1995,France,1995,0.79483,6.88,21.1,448.52,78.2,35.2,8.8,99.99898,8.033333333333333,5.4684033867789905,16.770830151262363,356.4953905178038,78.20000001316627,35.200000006828255,9.98022834584851,99.9989800175035,Europe
France_1996,France,1996,0.8395,7.13,19.1,448.63,78.4,35.5,9,99.999001,8.066666666666666,5.859981301651537,16.03445449263365,376.624990525143,78.39999999999999,35.5,10.487375190973022,99.99900099999579,Europe
France_1997,France,1997,0.88007,6.98,17.8,448.41,78.7,36.3,9.2,99.999103,8.1,5.856820199795269,15.665328556473897,394.63426842744144,78.70000000000002,36.3,10.350184148313929,99.99910299999372,Europe
France_1998,France,1998,0.86117,7.29,19.2,448.04,78.8,37.4,9.4,99.999286,8.133333333333333,6.138474607565284,16.534368403081892,385.8363760060838,78.8,37.399999999999984,10.398655746191153,99.99928599999478,Europe
France_1999,France,1999,0.86565,7.19,19.5,446.92,78.9,38.5,9.6,99.999318,8.166666666666666,6.224043283929424,16.880228655997747,386.8775277404365,78.9,38.5,10.412180041593505,99.99931799999553,Europe
France_2000,France,2000,0.86054,7.06,20.1,446.97,79.2,39.7,9.8,99.999166,8.2,6.0754039014593815,17.296829804438193,384.6350257557083,79.20000000000002,39.699999999999996,10.318260214581498,99.9991659999942,Europe
France_2001,France,2001,0.88385,7.09,19.3,446.36,79.3,40.2,10,99.999187,8.2,6.266499508024844,17.05831318511223,394.51547532517657,79.30000001787667,40.20000000927116,10.536125384280556,99.99918702376667,Europe
France_2002,France,2002,0.8739,6.96,20,446.57,79.5,40.4,10.1,99.999225,8.2,6.082359668907674,17.478045025598664,390.25852835403737,79.5,40.4,10.109624617486181,99.99922499998424,Europe
France_2003,France,2003,0.8628,7.02,20.8,447.7,79.7,40.4,10.2,99.999277,8.2,6.0568425528833085,17.946200156691283,386.27470241109063,79.70000000000002,40.40000000036229,10.2,99.99927699998477,Europe
France_2004,France,2004,0.87034,6.99,21.6,448.32,80.3,41.3,10.3,99.999296,8.4,6.083691110324825,18.799388838771993,390.19175945362304,80.3,41.3,10.41180394516406,99.99929599999525,Europe
France_2005,France,2005,0.87912,6.99,21.8,446.12,80.6,41.6,10.4,99.999326,8.6,6.145038263380291,19.164783139011497,392.1923419254958,80.6,41.6,10.594686417066137,99.99932599996362,Europe
France_2006,France,2006,0.8877,6.77,22.1,446.6,80.8,42.4,10.6,99.999327,8.5,6.009709791759558,19.61810729658586,396.44555288032774,80.80000000000001,42.4,10.669537697857043,99.99932699999694,Europe
France_2007,France,2007,0.89199,6.56,22.8,446.85,81.1,43.1,10.7,99.99943,8.1,5.851452319492002,20.337364768966108,398.5855897812503,81.1,43.1,10.782436914932187,99.99942999999591,Europe
France_2008,France,2008,0.89499,6.42,22.8,447.68,81.2,43,10.7,99.999344,7.9,5.7458081117679916,20.405673667961093,400.6671924417904,81.19999999999999,43,10.798458489094998,99.99934399999833,Europe
France_2009,France,2009,0.91038,6.12,22,449.318,81.4,41.5,10.8,99.999288,7.7,5.571521608893613,20.02834565284904,409.04982782491754,81.40000001249567,41.50000000602145,10.833616399310927,99.99928801508973,Europe
France_2010,France,2010,0.9463,6.2,20.9,448.53,81.6,42.1,10.9,99.999383,7.7,5.86707570979408,19.777722957209086,424.44507549203036,81.6,42.099999999999994,10.9,99.99938299999857,Europe
France_2011,France,2011,0.97151,5.78,20.5,448.46,81.8,42.9,10.9,99.999374,7.8,5.615319167388337,19.91592438262566,435.68270481175506,81.80000004660546,42.90000002245843,11.11186223472248,99.99937405628584,Europe
France_2012,France,2012,0.97649,5.76,20.6,448.77,82,42.8,11,99.999393,7.8,5.624560936518247,20.115617238242343,438.21774504883564,82.00000000000001,42.79999999999999,11.094135346292784,99.99939299999933,Europe
France_2013,France,2013,0.98858,5.75,20.7,448.88,82.3,42.8,11.2,99.999393,8,5.45654179876221,20.463509289602072,443.7516932326791,82.29999999999872,42.799999999999656,11.199999999999768,99.99939618003768,Europe
France_2014,France,2014,1,5.23,20.9,449.797,82.6,43,11.4,99.99956,8,5.229999999999752,20.899999999999004,449.79699999997865,82.59999999999607,42.999999999997954,11.399999999999459,99.99955999999526,Europe
Georgia_2000,Georgia,2000,0.99753,1.03,3.07,445.7,70.7,4.92,11.7,99.99703,5.4,1.0274522841635116,3.062406322700952,444.5975563608517,70.76951955952299,6.96700077864125,11.7,99.99703000000035,Asia
Georgia_2001,Georgia,2001,0.99648,0.87,3.39,446.59,70.8,5.24,11.8,99.99619,5.8,0.866938539291102,3.3780708599963636,445.01848535863587,70.80000000000001,6.2931019653332365,11.800000000000002,99.9961900000001,Asia
Georgia_2002,Georgia,2002,1,0.788,3.67,445.28,70.4,5.57,11.9,99.99662,6.3,0.7880000000000006,3.6700000000000026,445.28000000000026,70.40000000000005,5.570000000000004,11.900000000000007,99.99662000000006,Asia
Georgia_2003,Georgia,2003,1,0.882,4.07,441.61,70.6,6.23,12,99.99705,6.3,0.8820000000000043,4.07000000000002,441.6100000000022,70.60000000000034,6.230000000000031,12.000000000000059,99.99705000000048,Asia
Georgia_2004,Georgia,2004,0.9944,1.01,4.6,440.39,70.7,6.63,12,99.99748,6.2,1.0043420266199488,4.574231012399144,437.92295554768253,70.77353585212401,6.699298465552921,12,99.99747999999985,Asia
Georgia_2005,Georgia,2005,1,1.19,5.21,442.93,71,7.32,12.1,99.99879,6.2,1.190000011405417,5.210000014443734,442.9300008710317,71.000000182806275,7.320000033829214,12.100000016462806,99.99879026805321,Asia
Georgia_2006,Georgia,2006,1,1.46,5.65,434.9,71.5,8.05,12.1,99.99884,6.3,1.46,5.65,434.9,71.5,8.05,12.1,99.99884,Asia
Georgia_2007,Georgia,2007,1,1.53,6.45,431.4,72,9.11,12.1,99.999054,6.2,1.5299999999375455,6.449999999643509,431.3999999759107,71.99999999600469,9.109999999641365,12.099999999323721,99.99905399449631,Asia
Georgia_2008,Georgia,2008,1,1.28,6.65,437.5,71.5,9.36,12.2,99.999239,6.1,1.279999999999998,6.64999999999999,437.4999999999993,71.49999999999989,9.359999999999985,12.19999999999998,99.99923899999985,Asia
Georgia_2009,Georgia,2009,0.98904,1.49,6.72,443.86,71.7,9.1,12.2,99.999424,6.1,1.4736634691661559,6.646321149344077,438.9934680577176,71.79885335284474,9.572904064452858,12.200000000000001,99.99942399994349,Asia
Georgia_2010,Georgia,2010,1,1.52,6.62,442.48,71.9,9.74,12.2,99.999679,5.7,1.5200000000884337,6.619999998722564,442.4799987336507,71.90000007053433,9.740000008412531,12.20000000565465,99.9996790990529,Asia
Georgia_2011,Georgia,2011,0.98464,1.91,7.37,442.25,72.2,10.5,12.2,99.999642,5.6,1.7254104859111012,7.256812831085005,435.45800197385955,72.20000000000005,10.653757723574268,12.2,99.99964199993799,Asia
Georgia_2012,Georgia,2012,1,2.03,7.68,444.13,72.5,11.3,12.5,99.999211,5.9,2.0299983907847117,7.680000014136409,444.1299959119104,72.50000219213082,11.30000002979698,12.500000017384162,99.99921125286907,Asia
Georgia_2013,Georgia,2013,1,1.98,8.08,443.91,72.9,11.7,12.6,99.999127,6.1,1.9800000166460374,8.080000098258086,443.9100017194644,72.90000031398647,11.70000020823408,12.600000051003112,99.99912739133728,Asia
Georgia_2014,Georgia,2014,1,2.18,8.21,439.6,73.2,12.3,12.6,99.99808,6.4,2.1799999999976074,8.20999999999099,439.59999999951754,73.19999999991965,12.2999999999865,12.59999999998617,99.99807999989025,Asia
Georgia_2015,Georgia,2015,1,2.38,8.47,438.4,73.3,12.6,12.7,99.9983,6.7,2.380000000000002,8.470000000000008,438.4000000000004,73.30000000000007,12.60000000000001,12.70000000000001,99.99830000000009,Asia
Germany_1991,Germany,1991,0.84224,12.8,19.5,449.746,75.8,38.3,8.9,99.99889,8.8,5.5867920135732225,16.423672088759375,378.79388856532114,76.19850213890066,38.300000044829574,10.475265408479856,99.9988900796244,Europe
Germany_1992,Germany,1992,0.81646,12.1,20.9,450.1,76.2,38.7,9.1,99.99888,8.9,5.639764457359345,17.064059965810458,367.4896359153312,76.4937168261852,38.70000000299572,10.438955747086286,99.9988800053219,Europe
Germany_1993,Germany,1993,0.83326,11.9,19.8,449.9768,76.3,38.1,9.3,99.99885,9,5.655939764642872,16.49857634922261,374.94831263529665,76.3,38.10000000000001,10.477482257236268,99.99885000000808,Europe
Germany_1994,Germany,1994,0.82846,11.6,20.4,449.659,76.6,38.9,9.5,99.99885,8.5,5.727639420582346,16.90067604201164,372.5265239725577,76.60000002068631,38.90000001072826,10.497265559524429,99.99885002751549,Europe
Germany_1995,Germany,1995,0.84444,11.6,19.9,449.534,76.9,39.4,9.7,99.99886,8.6,5.907740024317782,16.804352114330097,379.6044031840838,76.9,39.400000000000006,10.687458201984171,99.99886000000676,Europe
Germany_1996,Germany,1996,0.86339,11.8,19.2,449.376,77.1,39.6,9.8,99.99892,8.9,6.140658166101363,16.57707808431425,387.9865125633749,77.1,39.60000000000001,10.911084044135194,99.99892000000646,Europe
Germany_1997,Germany,1997,0.88973,11.5,18.5,449.157,77.5,40.2,10,99.999114,8.9,6.65581622334738,16.460027052339992,399.6289930133985,77.5,40.2,11.305306677058097,99.9991140000065,Europe
Germany_1998,Germany,1998,0.87115,11.4,19.7,448.68,77.8,41,10.2,99.999154,8.9,6.739392598868999,17.16163849838536,390.8672061652558,77.8,41,11.271262525560209,99.999154000006655,Europe
Germany_1999,Germany,1999,0.86772,11,20.3,446.08,78.1,41.8,10.3,99.999143,8.7,6.786085717812046,17.614704059947886,387.072275224707,78.1,41.79999999999999,11.268189321933901,99.9991430000052,Europe
Germany_2000,Germany,2000,0.89118,11.1,20.2,437.3,78.4,42.9,11.2,99.999288,8.8,7.068360461441868,18.00184134639604,389.7131297415341,78.4,42.900000000000006,11.381795746913351,99.99928800000573,Europe
Germany_2001,Germany,2001,0.92092,11.3,19.1,447.07,78.7,43.6,11.7,99.999334,8.6,7.101925521905817,17.589577022858013,411.71582196906434,78.7,43.599999999999994,11.700000000000001,99.9993340000001,Europe
Germany_2002,Germany,2002,0.93645,11.1,18.9,447.53,78.8,43.4,12.1,99.999289,8.6,7.410281817589391,17.698890883809902,419.08913424504993,78.80000000000001,43.4,12.1,99.99928899999912,Europe
Germany_2003,Germany,2003,0.92663,11.1,19.9,447.39,78.9,43.1,12.5,99.999358,8.5,7.9113943617179245,18.43987539960977,414.56361080559867,78.9,43.10000000000001,12.5,99.99935799999895,Europe
Germany_2004,Germany,2004,0.92145,10.9,20.8,450.725,79.3,43.6,12.9,99.999379,8.5,8.285751607992887,19.16614950821477,415.3203240597467,79.3000000301875,43.60000000185705,12.90000000445526,99.99937904163386,Europe
Germany_2005,Germany,2005,0.94491,10.6,20.7,447.9,79.6,43.9,13.3,99.999457,8.2,8.562828788985328,19.55956334661292,423.2235953114939,79.60000000000001,43.89999999999999,13.3,99.99945699999309,Europe
Germany_2006,Germany,2006,0.9616,10.8,21,447.08,79.9,45.7,13.6,99.99945,8.3,9.165718176511662,20.193507757653663,429.91016420437103,79.94445997397209,45.7,13.6,99.999449999998,Europe
