women_in_parliament,basic_sanitation,basic_water_source,electricity,employment_rate,material_footprint,forest_area,mean_years_in_school,air_pollution,health_worker,red_list,poverty,life_expectancy,income,income_share_20,CO2,murder
1,NA,NA,0.13559303315442334,0.079160323337462,0.26083500126801873,0.13563102727560297,0.34550326611755666,0.3119313690493297,-0.3057662889704277,0.07426246823714086,-0.23203581851932167,0.26645819070323984,0.3792641592425715,0.3033382785857249,0.2408635179772776,-0.19457524844621338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13559303315442334,NA,NA,1,-0.44889500684120487,0.39762102188927057,-0.07990854658962697,0.7540875768978381,0.633153316532242,-0.3847870195762391,0.06236019586370911,-0.8668705393829966,0.8555142491475468,0.5507661363511284,0.21782798919890306,0.4664238486823506,-0.377162167278888
0.079160323337462,NA,NA,-0.44889500684120487,1,-0.08882637804839222,0.21833728137891,-0.2370387558413098,-0.2429097999623615,0.11641287295278668,-0.15905840150273,0.5351707036787277,-0.39867407510623926,-0.06696446238086648,-0.06215566561055158,0.007046722762386845,0.11876193315508159
0.26083500126801873,NA,NA,0.39762102188927057,-0.08882637804839222,1,0.039943344929299476,0.43349941547687926,0.2163294760228681,-0.23773203221933448,0.08374441055934954,-0.41229306516914593,0.4337883557547695,0.6444381336791051,0.21449001301961534,0.5262549312677572,-0.3268190491401335
0.13563102727560297,NA,NA,-0.07990854658962697,0.21833728137891,0.039943344929299476,1,0.026499251907013226,-0.20378110890099652,-0.29526200293438676,-0.24531672617647712,0.012309347511931568,-0.06556510929591303,-0.10676489095123629,-0.38092528615594096,-0.17182345637198307,0.037921089207996264
0.34550326611755666,NA,NA,0.7540875768978381,-0.2370387558413098,0.43349941547687926,0.026499251907013226,1,0.6408217605994248,-0.5299874791766945,0.07182385631742036,-0.6767690783582695,0.7079228625350789,0.5407345454646677,0.23713772304772382,0.44808215586009337,-0.19164029313913625
0.3119313690493297,NA,NA,0.633153316532242,-0.2429097999623615,0.2163294760228681,-0.20378110890099652,0.6408217605994248,1,-0.405569159542285,0.21996432066816052,-0.5247682641723556,0.5334763665935135,0.398733687980503,0.3358128975153996,0.41200700944386726,-0.04935789047972811
-0.3057662889704277,NA,NA,-0.3847870195762391,0.11641287295278668,-0.23773203221933448,-0.29526200293438676,-0.5299874791766945,-0.405569159542285,1,0.13792521675280983,0.5586383468323777,-0.4347034484847236,-0.26815110288948835,0.21043048147159857,-0.06239752368603393,0.09870203807337777
0.07426246823714086,NA,NA,0.06236019586370911,-0.15905840150273,0.08374441055934954,-0.24531672617647712,0.07182385631742036,0.21996432066816052,0.13792521675280983,1,-0.08509060473657691,-0.042448119325864495,0.16330086853857237,0.4845993068134562,0.19350750793931307,0.011418201342185472
-0.23203581851932167,NA,NA,-0.8668705393829966,0.5351707036787277,-0.41229306516914593,0.012309347511931568,-0.6767690783582695,-0.5247682641723556,0.5586383468323777,-0.08509060473657691,1,-0.8203711802916109,-0.5841214392395707,-0.15400612109148346,-0.526892108499915,0.1932955878368845
0.26645819070323984,NA,NA,0.8555142491475468,-0.39867407510623926,0.4337883557547695,-0.06556510929591303,0.7079228625350789,0.5334763665935135,-0.4347034484847236,-0.042448119325864495,-0.8203711802916109,1,0.618282060511355,0.07698330875152863,0.4376208541882454,-0.5084184241799737
0.3792641592425715,NA,NA,0.5507661363511284,-0.06696446238086648,0.6444381336791051,-0.10676489095123629,0.5407345454646677,0.398733687980503,-0.26815110288948835,0.16330086853857237,-0.5841214392395707,0.618282060511355,1,0.3879233764528794,0.7955423550136261,-0.3783754315735848
0.3033382785857249,NA,NA,0.21782798919890306,-0.06215566561055158,0.21449001301961534,-0.38092528615594096,0.23713772304772382,0.3358128975153996,0.21043048147159857,0.4845993068134562,-0.15400612109148346,0.07698330875152863,0.3879233764528794,1,0.40840698847440293,-0.3253489152480552
0.2408635179772776,NA,NA,0.4664238486823506,0.007046722762386845,0.5262549312677572,-0.17182345637198307,0.44808215586009337,0.41200700944386726,-0.06239752368603393,0.19350750793931307,-0.526892108499915,0.4376208541882454,0.7955423550136261,0.40840698847440293,1,-0.17928234852398187
-0.19457524844621338,NA,NA,-0.377162167278888,0.11876193315508159,-0.3268190491401335,0.037921089207996264,-0.19164029313913625,-0.04935789047972811,0.09870203807337777,0.011418201342185472,0.1932955878368845,-0.5084184241799737,-0.3783754315735848,-0.3253489152480552,-0.17928234852398187,1
