dmu,country,year,efficiencies,CO2,murder
Lithuania_2014,Lithuania,2014,0.21569,4.34,99.99655
Lithuania_2015,Lithuania,2015,0.20616,4.48,99.99634
Lithuania_2016,Lithuania,2016,0.21145,4.54,99.99695
Luxembourg_2002,Luxembourg,2002,0.04902,22.6,99.99807
Luxembourg_2003,Luxembourg,2003,0.07057,23.4,99.99896
Luxembourg_2004,Luxembourg,2004,0.08334,26.2,99.99974
Luxembourg_2005,Luxembourg,2005,0.05201,26.5,99.99856
Luxembourg_2006,Luxembourg,2006,0.05761,25.7,99.99871
Luxembourg_2007,Luxembourg,2007,0.06766,23.9,99.99891
Luxembourg_2008,Luxembourg,2008,0.0703,23.1,99.99892
Luxembourg_2009,Luxembourg,2009,0.08601,21.5,99.99925
Luxembourg_2010,Luxembourg,2010,0.05013,22.1,99.99807
Luxembourg_2011,Luxembourg,2011,0.09364,21.4,99.999477
Luxembourg_2012,Luxembourg,2012,0.10891,20.5,99.999812
Luxembourg_2013,Luxembourg,2013,0.1188,19,99.999848
Luxembourg_2014,Luxembourg,2014,0.11064,17.7,99.99941
Luxembourg_2015,Luxembourg,2015,0.11368,16.5,99.999289
Malaysia_2007,Malaysia,2007,0.22313,6.85,99.99878
Malaysia_2008,Malaysia,2008,0.23606,7.44,99.999114
Malaysia_2009,Malaysia,2009,0.25537,7.11,99.999201
Malaysia_2010,Malaysia,2010,0.24743,7.68,99.999325
Malaysia_2011,Malaysia,2011,0.2565,7.6,99.999397
Malaysia_2012,Malaysia,2012,0.24915,7.43,99.999253
Malaysia_2013,Malaysia,2013,0.2581,7.96,99.999551
Malaysia_2014,Malaysia,2014,0.25545,8.08,99.999565
Malta_2006,Malta,2006,0.30641,6.41,99.9994185
Malta_2007,Malta,2007,0.28558,6.58,99.999294
Malta_2008,Malta,2008,0.23284,6.74,99.99884
Malta_2009,Malta,2009,0.30999,6.15,99.999334
Malta_2010,Malta,2010,0.27973,6.12,99.999049
Malta_2011,Malta,2011,0.32111,6.26,99.999486
Malta_2012,Malta,2012,0.20118,6.58,99.99848
Malta_2013,Malta,2013,0.27508,5.73,99.99885
Malta_2014,Malta,2014,0.33076,5.64,99.999274
Malta_2015,Malta,2015,0.49176,3.96,99.999394
Mexico_1990,Mexico,1990,0.14793,3.78,99.9796
Mexico_1991,Mexico,1991,0.14503,3.86,99.9798
Mexico_1992,Mexico,1992,0.14505,3.82,99.978
Mexico_1993,Mexico,1993,0.14605,3.82,99.9792
Mexico_1994,Mexico,1994,0.14387,3.9,99.9802
Mexico_1995,Mexico,1995,0.15597,3.62,99.981
Moldova_1997,Moldova,1997,0.36043,1.7,99.987
Moldova_1998,Moldova,1998,0.41103,1.52,99.9885
Moldova_1999,Moldova,1999,0.56575,1.11,99.9889
Moldova_2000,Moldova,2000,0.73322,0.851,99.9884
Moldova_2001,Moldova,2001,0.69567,0.905,99.9891
Moldova_2002,Moldova,2002,0.65739,0.971,99.99019
Moldova_2003,Moldova,2003,0.61067,1.06,99.99131
Moldova_2004,Moldova,2004,0.65204,1.11,99.99299
Moldova_2005,Moldova,2005,0.58365,1.19,99.9925
Moldova_2006,Moldova,2006,0.61196,1.21,99.99327
Moldova_2007,Moldova,2007,0.64252,1.21,99.99389
Moldova_2008,Moldova,2008,0.5943,1.26,99.99341
Moldova_2009,Moldova,2009,0.72297,1.11,99.99431
Moldova_2010,Moldova,2010,0.65734,1.18,99.99386
Moldova_2011,Moldova,2011,0.70512,1.21,99.99516
Moldova_2012,Moldova,2012,0.72209,1.17,99.99502
Moldova_2013,Moldova,2013,0.67571,1.2,99.99445
Moldova_2014,Moldova,2014,0.76894,1.16,99.99581
Moldova_2015,Moldova,2015,0.7645,1.18,99.99598
Moldova_2016,Moldova,2016,0.7347,1.21,99.99576
Mongolia_2016,Mongolia,2016,0.10911,8.29,99.99602
North Macedonia_2009,North Macedonia,2009,0.36391,4.2,99.99878
North Macedonia_2010,North Macedonia,2010,0.2714,4.15,99.99813
North Macedonia_2011,North Macedonia,2011,0.33281,4.49,99.99873
North Macedonia_2012,North Macedonia,2012,0.31468,4.25,99.9985
North Macedonia_2013,North Macedonia,2013,0.49221,3.79,99.999274
Norway_1990,Norway,1990,0.18863,8.32,99.99884
Norway_1991,Norway,1991,0.17295,7.93,99.99855
Norway_1992,Norway,1992,0.1988,8.1,99.9989
Norway_1993,Norway,1993,0.20194,8.4,99.999026
Norway_1994,Norway,1994,0.21029,8.78,99.999246
Norway_1995,Norway,1995,0.18931,8.87,99.999001
Norway_1996,Norway,1996,0.17885,9.53,99.999038
Norway_1997,Norway,1997,0.19233,9.49,99.999215
Norway_1998,Norway,1998,0.18646,9.5,99.999136
Norway_1999,Norway,1999,0.19476,9.61,99.999283
Norway_2000,Norway,2000,0.16806,9.46,99.99887
Norway_2001,Norway,2001,0.18812,9.71,99.999217
Norway_2002,Norway,2002,0.18537,9.46,99.99911
Norway_2003,Norway,2003,0.17722,9.71,99.999062
Norway_2004,Norway,2004,0.18862,9.72,99.999227
Norway_2005,Norway,2005,0.20312,9.5,99.999368
Norway_2006,Norway,2006,0.18079,9.53,99.999065
Norway_2007,Norway,2007,0.19413,9.81,99.999331
Norway_2008,Norway,2008,0.20584,9.52,99.999412
Norway_2009,Norway,2009,0.21415,9.1,99.999396
Norway_2010,Norway,2010,0.19584,9.47,99.999258
Norway_2011,Norway,2011,0.10726,9.2,99.9974
Norway_2012,Norway,2012,0.21965,8.99,99.999434
Norway_2013,Norway,2013,0.19507,8.86,99.999073
Norway_2014,Norway,2014,0.22429,8.74,99.999413
Norway_2015,Norway,2015,0.2403,8.72,99.999611
Poland_2004,Poland,2004,0.17726,8.43,99.99873
Poland_2005,Poland,2005,0.18255,8.41,99.99879
Poland_2006,Poland,2006,0.17448,8.76,99.99878
Poland_2007,Poland,2007,0.18149,8.76,99.99887
Poland_2008,Poland,2008,0.19325,8.58,99.99897
Poland_2009,Poland,2009,0.21481,8.23,99.999131
Poland_2010,Poland,2010,0.2123,8.71,99.99925
Poland_2011,Poland,2011,0.20297,8.7,99.999128
Poland_2012,Poland,2012,0.21399,8.52,99.999212
Poland_2013,Poland,2013,0.20697,8.43,99.999097
Poland_2014,Poland,2014,0.2307,8.11,99.999282
Poland_2015,Poland,2015,0.2384,8.22,99.999412
Portugal_2003,Portugal,2003,0.21936,6.19,99.99853
Portugal_2004,Portugal,2004,0.22516,6.43,99.99866175
Portugal_2005,Portugal,2005,0.23227,6.62,99.9987935
Portugal_2006,Portugal,2006,0.26464,6.15,99.99892525
Portugal_2007,Portugal,2007,0.29109,5.9,99.999057
Portugal_2008,Portugal,2008,0.26235,5.67,99.99872
Portugal_2009,Portugal,2009,0.32142,5.39,99.999079
Portugal_2010,Portugal,2010,0.32206,5,99.9989
Portugal_2011,Portugal,2011,0.36874,4.9,99.999188
Portugal_2012,Portugal,2012,0.35769,4.75,99.99903
Portugal_2013,Portugal,2013,0.38937,4.6,99.999165
Portugal_2014,Portugal,2014,0.38808,4.61,99.999162
Romania_2006,Romania,2006,0.2371,4.95,99.99826
Romania_2007,Romania,2007,0.23996,5.09,99.99833
Romania_2008,Romania,2008,0.21697,5.05,99.99803
Romania_2009,Romania,2009,0.27006,4.25,99.9982
Romania_2010,Romania,2010,0.27479,4.11,99.99814
Romania_2011,Romania,2011,0.29486,4.42,99.99845
Romania_2012,Romania,2012,0.279,4.28,99.99829
Romania_2013,Romania,2013,0.36249,3.84,99.99858
Romania_2014,Romania,2014,0.35968,3.87,99.99858
Romania_2015,Romania,2015,0.40312,3.91,99.99885
Romania_2016,Romania,2016,0.40441,3.83,99.99881
Russia_1997,Russia,1997,0.0554,9.99,99.9778
Russia_1998,Russia,1998,0.05622,9.9,99.9788
Serbia_2012,Serbia,2012,0.27629,4.89,99.99852
Serbia_2013,Serbia,2013,0.22588,5,99.99814
Serbia_2014,Serbia,2014,0.34444,4.18,99.99865
Serbia_2015,Serbia,2015,0.31695,4.93,99.99883
Slovakia_2006,Slovakia,2006,0.18599,7.9,99.99869333333334
Slovakia_2007,Slovakia,2007,0.20081,7.6,99.99877666666669
Slovakia_2008,Slovakia,2008,0.20639,7.67,99.99886
Slovakia_2009,Slovakia,2009,0.24439,6.98,99.99904
Slovakia_2010,Slovakia,2010,0.23772,7.13,99.999024
Slovakia_2011,Slovakia,2011,0.244,7.04,99.9990575
Slovakia_2012,Slovakia,2012,0.26175,6.65,99.999091
Slovakia_2013,Slovakia,2013,0.25569,6.57,99.999002
Slovakia_2014,Slovakia,2014,0.30022,6.2,99.999268
Slovenia_2004,Slovenia,2004,0.14756,8.37,99.99835
Slovenia_2005,Slovenia,2005,0.19186,8.5,99.99893
Slovenia_2006,Slovenia,2006,0.23241,8.57,99.999459
Slovenia_2007,Slovenia,2007,0.20804,8.59,99.999159
Slovenia_2008,Slovenia,2008,0.22431,9.01,99.999502
Slovenia_2009,Slovenia,2009,0.25007,8.03,99.999483
Slovenia_2010,Slovenia,2010,0.26442,8.02,99.999648
Slovenia_2011,Slovenia,2011,0.22753,7.98,99.999201
Slovenia_2012,Slovenia,2012,0.25306,7.69,99.999392
Slovenia_2013,Slovenia,2013,0.24605,7.36,99.999194
Slovenia_2014,Slovenia,2014,0.26543,6.55,99.999088
Slovenia_2015,Slovenia,2015,0.30072,6.58,99.99944
South Africa_2008,South Africa,2008,0.06326,9.94,99.989
South Korea_2006,South Korea,2006,0.14606,9.53,99.99858
South Korea_2007,South Korea,2007,0.1493,10.1,99.99875
South Korea_2008,South Korea,2008,0.14773,10.3,99.99877
South Korea_2009,South Korea,2009,0.1464,10.3,99.99875
South Korea_2010,South Korea,2010,0.14066,11.4,99.99889
South Korea_2011,South Korea,2011,0.14341,11.8,99.99902
South Korea_2012,South Korea,2012,0.14446,11.7,99.999017
South Korea_2013,South Korea,2013,0.14346,11.8,99.999021
South Korea_2014,South Korea,2014,0.15141,11.6,99.999114
South Korea_2015,South Korea,2015,0.15105,11.7,99.99913
Spain_1990,Spain,1990,0.29271,5.9,99.999071
Spain_1991,Spain,1991,0.28996,6.13,99.999145
Spain_1992,Spain,1992,0.28317,6.33,99.999167
Spain_1993,Spain,1993,0.28636,6.1,99.9991
Spain_1994,Spain,1994,0.27965,6.4,99.999163
Spain_1995,Spain,1995,0.26796,6.72,99.999179
Spain_1996,Spain,1996,0.28308,6.39,99.999191
Spain_1997,Spain,1997,0.27273,6.68,99.99921
Spain_1998,Spain,1998,0.26418,6.86,99.999196
Spain_1999,Spain,1999,0.24748,7.4,99.999224
Spain_2000,Spain,2000,0.22789,7.62,99.999085
Spain_2001,Spain,2001,0.22967,7.57,99.999088
Spain_2002,Spain,2002,0.21569,7.95,99.999053
Spain_2003,Spain,2003,0.21755,7.91,99.999062
Spain_2004,Spain,2004,0.18374,8.17,99.99874
Spain_2005,Spain,2005,0.21652,8.37,99.999196
Spain_2006,Spain,2006,0.22906,8.04,99.999239
Spain_2007,Spain,2007,0.23548,8.09,99.999332
Spain_2008,Spain,2008,0.25459,7.29,99.99926
Spain_2009,Spain,2009,0.3025,6.37,99.999364
Spain_2010,Spain,2010,0.32185,6.04,99.999389
Spain_2011,Spain,2011,0.3171,6.04,99.999347
Spain_2012,Spain,2012,0.33276,5.93,99.999432
Spain_2013,Spain,2013,0.36492,5.37,99.999412
Spain_2014,Spain,2014,0.3627,5.45,99.999437
Spain_2015,Spain,2015,0.34093,5.81,99.999443
Sweden_1990,Sweden,1990,0.22677,6.71,99.99877
Sweden_1991,Sweden,1991,0.21011,6.69,99.9986
Sweden_1992,Sweden,1992,0.21884,6.61,99.99866
Sweden_1993,Sweden,1993,0.23195,6.56,99.99877
Sweden_1994,Sweden,1994,0.22778,6.8,99.99881
Sweden_1995,Sweden,1995,0.25083,6.7,99.999003
Sweden_1996,Sweden,1996,0.21915,7.13,99.99883
Sweden_1997,Sweden,1997,0.25314,6.55,99.99897
Sweden_1998,Sweden,1998,0.24325,6.62,99.9989
Sweden_1999,Sweden,1999,0.24802,6.3,99.99883
Sweden_2000,Sweden,2000,0.27138,6.16,99.99899
Sweden_2001,Sweden,2001,0.27653,6.26,99.999077
Sweden_2002,Sweden,2002,0.24715,6.35,99.99884
Sweden_2003,Sweden,2003,0.27411,6.39,99.999107
Sweden_2004,Sweden,2004,0.25859,6.28,99.99892
Sweden_2005,Sweden,2005,0.29354,5.96,99.999104
Sweden_2006,Sweden,2006,0.30335,5.9,99.999163
Sweden_2007,Sweden,2007,0.27365,5.76,99.99885
Sweden_2008,Sweden,2008,0.33296,5.49,99.999219
Sweden_2009,Sweden,2009,0.34427,5.06,99.999093
Sweden_2010,Sweden,2010,0.30093,5.63,99.999023
Sweden_2011,Sweden,2011,0.35951,5.17,99.999264
Sweden_2012,Sweden,2012,0.39353,4.86,99.999343
Sweden_2013,Sweden,2013,0.38802,4.66,99.99919
Sweden_2014,Sweden,2014,0.40343,4.46,99.999177
Sweden_2015,Sweden,2015,0.36824,4.41,99.99892
Switzerland_1990,Switzerland,1990,0.2045,6.64,99.99853
Switzerland_1991,Switzerland,1991,0.21255,6.87,99.99868
Switzerland_1992,Switzerland,1992,0.2043,6.78,99.99857
Switzerland_1993,Switzerland,1993,0.19665,6.35,99.99837
Switzerland_1994,Switzerland,1994,0.23705,6.16,99.99868
Switzerland_1995,Switzerland,1995,0.277,6.21,99.999061
Switzerland_1996,Switzerland,1996,0.26009,6.27,99.99893
Switzerland_1997,Switzerland,1997,0.23753,6.09,99.99866
Switzerland_1998,Switzerland,1998,0.2882,6.3,99.999201
Switzerland_1999,Switzerland,1999,0.27108,6.25,99.999023
Switzerland_2000,Switzerland,2000,0.29348,6.11,99.999168
Switzerland_2001,Switzerland,2001,0.25859,6.28,99.99892
Switzerland_2002,Switzerland,2002,0.28676,6.02,99.99907
Switzerland_2003,Switzerland,2003,0.30966,6.15,99.999331
Switzerland_2004,Switzerland,2004,0.28419,6.18,99.999114
Switzerland_2005,Switzerland,2005,0.27403,6.2,99.99903
Switzerland_2006,Switzerland,2006,0.31999,6.09,99.999396
Switzerland_2007,Switzerland,2007,0.34164,5.76,99.999424
Switzerland_2008,Switzerland,2008,0.34047,5.87,99.999469
Switzerland_2009,Switzerland,2009,0.33102,5.65,99.999281
Switzerland_2010,Switzerland,2010,0.3563,5.77,99.999553
Switzerland_2011,Switzerland,2011,0.39086,5.19,99.999513
Switzerland_2012,Switzerland,2012,0.39066,5.28,99.999563
Switzerland_2013,Switzerland,2013,0.37624,5.33,99.999479
Thailand_1994,Thailand,1994,0.30694,2.29,99.99264
Thailand_1995,Thailand,1995,0.27271,2.64,99.99292625
Thailand_1996,Thailand,1996,0.25503,2.89,99.9932125
Thailand_1997,Thailand,1997,0.25563,2.95,99.99349875
Thailand_1998,Thailand,1998,0.29776,2.59,99.993785
Thailand_1999,Thailand,1999,0.29523,2.67,99.99407125
Thailand_2000,Thailand,2000,0.29717,2.71,99.9943575
Thailand_2001,Thailand,2001,0.28655,2.87,99.99464375
Thailand_2002,Thailand,2002,0.27983,3,99.99493
Thailand_2003,Thailand,2003,0.26631,3.15,99.99492
Thailand_2004,Thailand,2004,0.24949,3.36,99.99491
Thailand_2005,Thailand,2005,0.24423,3.43,99.9949
Thailand_2006,Thailand,2006,0.24194,3.46,99.99489
Thailand_2007,Thailand,2007,0.23968,3.49,99.99488
Thailand_2008,Thailand,2008,0.25257,3.43,99.99538
Thailand_2009,Thailand,2009,0.24488,3.64,99.9958
Thailand_2010,Thailand,2010,0.22413,3.82,99.99521
Thailand_2011,Thailand,2011,0.23643,3.76,99.99576
Thailand_2012,Thailand,2012,0.22176,3.99,99.99569
Thailand_2013,Thailand,2013,0.21133,4.17,99.99563
Thailand_2014,Thailand,2014,0.22399,4.07,99.99614
Thailand_2015,Thailand,2015,0.23268,4.1,99.99685
Thailand_2016,Thailand,2016,0.24275,4.07,99.99742
Trinidad and Tobago_1990,Trinidad and Tobago,1990,0.05271,13.9,99.99314
Trinidad and Tobago_1991,Trinidad and Tobago,1991,0.04769,13.8,99.99189
Trinidad and Tobago_1992,Trinidad and Tobago,1992,0.04067,15.5,99.9892
Tunisia_2009,Tunisia,2009,1,2.31,99.9999255
Turkey_2009,Turkey,2009,0.3635,4.43,99.9989
Turkey_2010,Turkey,2010,0.31529,4.35,99.99855
Turkey_2011,Turkey,2011,0.33454,4.63,99.99881
Turkey_2012,Turkey,2012,0.32102,4.74,99.99877
Turkey_2013,Turkey,2013,0.26844,4.55,99.99833
Turkey_2014,Turkey,2014,0.2837,4.69,99.99849
Turkey_2015,Turkey,2015,0.29624,4.86,99.99865
Ukraine_1995,Ukraine,1995,0.07874,7.67,99.9859
Ukraine_1996,Ukraine,1996,0.08701,6.95,99.986
Ukraine_1997,Ukraine,1997,0.09119,6.79,99.9878
Ukraine_1998,Ukraine,1998,0.09476,6.61,99.9887
Ukraine_1999,Ukraine,1999,0.10296,6.06,99.9884
Ukraine_2000,Ukraine,2000,0.10625,5.85,99.9881
Ukraine_2001,Ukraine,2001,0.09987,6.28,99.9888
Ukraine_2002,Ukraine,2002,0.1023,6.17,99.9893
Ukraine_2003,Ukraine,2003,0.09869,6.46,99.99009
Ukraine_2004,Ukraine,2004,0.09769,6.58,99.99075
United Kingdom_1990,United Kingdom,1990,0.1778,10.5,99.999276
United Kingdom_1991,United Kingdom,1991,0.1756,10.6,99.999268
United Kingdom_1992,United Kingdom,1992,0.17125,10.3,99.999125
United Kingdom_1993,United Kingdom,1993,0.1493,10.1,99.99875
United Kingdom_1994,United Kingdom,1994,0.16631,9.97,99.99897
United Kingdom_1995,United Kingdom,1995,0.17076,9.79,99.99899
United Kingdom_1996,United Kingdom,1996,0.17335,10.1,99.999106
United Kingdom_1997,United Kingdom,1997,0.196,9.65,99.999312
United Kingdom_1998,United Kingdom,1998,0.19289,9.71,99.999285
United Kingdom_1999,United Kingdom,1999,0.19205,9.55,99.999228
United Kingdom_2000,United Kingdom,2000,0.20317,9.63,99.9994075
United Kingdom_2001,United Kingdom,2001,0.21324,9.75,99.999587
United Kingdom_2002,United Kingdom,2002,0.21712,9.45,99.999547
United Kingdom_2003,United Kingdom,2003,0.21294,9.6,99.999536
United Kingdom_2004,United Kingdom,2004,0.21161,9.58,99.999511
United Kingdom_2005,United Kingdom,2005,0.21883,9.46,99.999574
United Kingdom_2006,United Kingdom,2006,0.22159,9.33,99.99957
United Kingdom_2007,United Kingdom,2007,0.22967,9.1,99.999603
United Kingdom_2008,United Kingdom,2008,0.24274,8.77,99.99966
United Kingdom_2009,United Kingdom,2009,0.27345,7.87,99.999694
United Kingdom_2010,United Kingdom,2010,0.26887,8.07,99.99972
United Kingdom_2011,United Kingdom,2011,0.2945,7.34,99.999708
United Kingdom_2012,United Kingdom,2012,0.29125,7.56,99.999767
United Kingdom_2013,United Kingdom,2013,0.30046,7.36,99.999781
United Kingdom_2014,United Kingdom,2014,0.33252,6.71,99.99981
United Kingdom_2015,United Kingdom,2015,0.34733,6.42,99.999808
United States_1990,United States,1990,0.03147,20.3,99.99026
United States_1991,United States,1991,0.03184,19.9,99.9896
United States_1992,United States,1992,0.03154,20.2,99.99004
United States_1993,United States,1993,0.03114,20.4,99.9898
United States_1994,United States,1994,0.03118,20.5,99.99029
United States_1995,United States,1995,0.03149,20.5,99.9911
United States_1996,United States,1996,0.03145,21,99.99193
United States_1997,United States,1997,0.03287,21,99.99243
United States_1998,United States,1998,0.03492,20.9,99.99309
United States_1999,United States,1999,0.03614,20.9,99.99352
United States_2000,United States,2000,0.03628,21.3,99.99381
United States_2001,United States,2001,0.03413,20.7,99.9927
United States_2002,United States,2002,0.0369,20.7,99.99366
United States_2003,United States,2003,0.03692,20.7,99.99367
United States_2004,United States,2004,0.03711,20.9,99.99386
United States_2005,United States,2005,0.03663,20.8,99.99363
United States_2006,United States,2006,0.03712,20.3,99.99349
United States_2007,United States,2007,0.0372,20.4,99.99358
Venezuela_1990,Venezuela,1990,0.09802,6.21,99.9865
Venezuela_1991,Venezuela,1991,0.10623,5.73,99.9865
Venezuela_1992,Venezuela,1992,0.11843,5.14,99.9865
Venezuela_1993,Venezuela,1993,0.101,5.9,99.9849
Venezuela_1994,Venezuela,1994,0.09759,6.04,99.9841
