dmu,country,year,efficiencies,foreign_investment,murder
Turkey_2015,Turkey,2015,0.01647,60.73,99.99865
Ukraine_1995,Ukraine,1995,0.01693,59.054,99.9859
Ukraine_1996,Ukraine,1996,0.01676,59.67,99.986
Ukraine_1997,Ukraine,1997,0.01674,59.74,99.9878
Ukraine_1998,Ukraine,1998,0.01659,60.27,99.9887
Ukraine_1999,Ukraine,1999,0.01665,60.07,99.9884
Ukraine_2000,Ukraine,2000,0.01657,60.34,99.9881
Ukraine_2001,Ukraine,2001,0.01653,60.51,99.9888
Ukraine_2002,Ukraine,2002,0.01664,60.08,99.9893
Ukraine_2003,Ukraine,2003,0.01633,61.24,99.99009
Ukraine_2004,Ukraine,2004,0.01638,61.05,99.99075
United Kingdom_1990,United Kingdom,1990,0.36912,62.28,99.999276
United Kingdom_1991,United Kingdom,1991,0.37185,60.53,99.999268
United Kingdom_1992,United Kingdom,1992,0.23022,60.45,99.999125
United Kingdom_1993,United Kingdom,1993,0.01657,60.35,99.99875
United Kingdom_1994,United Kingdom,1994,0.07647,60.22,99.99897
United Kingdom_1995,United Kingdom,1995,0.09572,60.66,99.99899
United Kingdom_1996,United Kingdom,1996,0.21019,60.78,99.999106
United Kingdom_1997,United Kingdom,1997,0.40705,61.79,99.999312
United Kingdom_1998,United Kingdom,1998,0.36121,65.14,99.999285
United Kingdom_1999,United Kingdom,1999,0.30366,66.21,99.999228
United Kingdom_2000,United Kingdom,2000,0.45179,68.37,99.9994075
United Kingdom_2001,United Kingdom,2001,0.67313,61.91,99.999587
United Kingdom_2002,United Kingdom,2002,0.61814,63.53,99.999547
United Kingdom_2003,United Kingdom,2003,0.64082,60.25,99.999536
United Kingdom_2004,United Kingdom,2004,0.59764,62.09,99.999511
United Kingdom_2005,United Kingdom,2005,0.59758,68.43,99.999574
United Kingdom_2006,United Kingdom,2006,0.61603,65.99,99.99957
United Kingdom_2007,United Kingdom,2007,0.6534,65.25,99.999603
United Kingdom_2008,United Kingdom,2008,0.68622,67.12,99.99966
United Kingdom_2009,United Kingdom,2009,0.8139,59.1,99.999694
United Kingdom_2010,United Kingdom,2010,0.81177,61.18,99.99972
United Kingdom_2011,United Kingdom,2011,0.82243,59.51,99.999708
United Kingdom_2012,United Kingdom,2012,0.8716,60.22,99.999767
United Kingdom_2013,United Kingdom,2013,0.88234,60.44,99.999781
United Kingdom_2014,United Kingdom,2014,0.91162,60.41,99.99981
United Kingdom_2015,United Kingdom,2015,0.91539,60.03,99.999808
United States_1990,United States,1990,0.01675,59.69,99.99026
United States_1991,United States,1991,0.01693,59.061,99.9896
United States_1992,United States,1992,0.01696,58.965,99.99004
United States_1993,United States,1993,0.01688,59.232,99.9898
United States_1994,United States,1994,0.01687,59.268,99.99029
United States_1995,United States,1995,0.01683,59.404,99.9911
United States_1996,United States,1996,0.01675,59.71,99.99193
United States_1997,United States,1997,0.01669,59.92,99.99243
United States_1998,United States,1998,0.01644,60.83,99.99309
United States_1999,United States,1999,0.0162,61.74,99.99352
United States_2000,United States,2000,0.01615,61.91,99.99381
United States_2001,United States,2001,0.01663,60.13,99.9927
United States_2002,United States,2002,0.0168,59.52,99.99366
United States_2003,United States,2003,0.0168,59.52,99.99367
United States_2004,United States,2004,0.0166,60.25,99.99386
United States_2005,United States,2005,0.01678,59.59,99.99363
United States_2006,United States,2006,0.01649,60.66,99.99349
United States_2007,United States,2007,0.01642,60.9,99.99358
Venezuela_1990,Venezuela,1990,0.01683,59.428,99.9865
Venezuela_1991,Venezuela,1991,0.01611,62.08,99.9865
Venezuela_1992,Venezuela,1992,0.0168,59.54,99.9865
Venezuela_1993,Venezuela,1993,0.01692,59.119,99.9849
Venezuela_1994,Venezuela,1994,0.0167,59.87,99.9841
