dmu,country,year,efficiencies,material_footprint,murder
Ukraine_1996,Ukraine,1996,0.00664,4.52,99.986
Ukraine_1997,Ukraine,1997,0.00636,4.72,99.9878
Ukraine_1998,Ukraine,1998,0.00785,3.82,99.9887
Ukraine_1999,Ukraine,1999,0.00817,3.67,99.9884
Ukraine_2000,Ukraine,2000,0.00735,4.08,99.9881
Ukraine_2001,Ukraine,2001,0.0062,4.84,99.9888
Ukraine_2002,Ukraine,2002,0.00626,4.79,99.9893
Ukraine_2003,Ukraine,2003,0.00665,4.88,99.99009
Ukraine_2004,Ukraine,2004,0.00653,6.28,99.99075
United Kingdom_1990,United Kingdom,1990,0.24616,17.5,99.999276
United Kingdom_1991,United Kingdom,1991,0.23318,18.4,99.999268
United Kingdom_1992,United Kingdom,1992,0.21999,18.1,99.999125
United Kingdom_1993,United Kingdom,1993,0.19147,17.4,99.99875
United Kingdom_1994,United Kingdom,1994,0.19196,19,99.99897
United Kingdom_1995,United Kingdom,1995,0.1836,20.1,99.99899
United Kingdom_1996,United Kingdom,1996,0.19903,19.8,99.999106
United Kingdom_1997,United Kingdom,1997,0.20117,21.8,99.999312
United Kingdom_1998,United Kingdom,1998,0.18572,23.3,99.999285
United Kingdom_1999,United Kingdom,1999,0.1716,24.5,99.999228
United Kingdom_2000,United Kingdom,2000,0.17729,25.9,99.9994075
United Kingdom_2001,United Kingdom,2001,0.20491,24.3,99.999587
United Kingdom_2002,United Kingdom,2002,0.19971,24.5,99.999547
United Kingdom_2003,United Kingdom,2003,0.19955,24.4,99.999536
United Kingdom_2004,United Kingdom,2004,0.18591,25.9,99.999511
United Kingdom_2005,United Kingdom,2005,0.18338,27,99.999574
United Kingdom_2006,United Kingdom,2006,0.18038,27.4,99.99957
United Kingdom_2007,United Kingdom,2007,0.18365,27.3,99.999603
United Kingdom_2008,United Kingdom,2008,0.20224,25.4,99.99966
United Kingdom_2009,United Kingdom,2009,0.24234,21.5,99.999694
United Kingdom_2010,United Kingdom,2010,0.23616,22.3,99.99972
United Kingdom_2011,United Kingdom,2011,0.23712,22.1,99.999708
United Kingdom_2012,United Kingdom,2012,0.23964,22.4,99.999767
United Kingdom_2013,United Kingdom,2013,0.24206,22.3,99.999781
United Kingdom_2014,United Kingdom,2014,0.2427,22.5,99.99981
United Kingdom_2015,United Kingdom,2015,0.24037,22.7,99.999808
United States_1990,United States,1990,0.00125,27.8,99.99026
United States_1991,United States,1991,0.00113,26.5,99.9896
United States_1992,United States,1992,0.00114,27.9,99.99004
United States_1993,United States,1993,0.00112,26.8,99.9898
United States_1994,United States,1994,0.0012,29.3,99.99029
United States_1995,United States,1995,0.00153,29.7,99.9911
United States_1996,United States,1996,0.00182,31,99.99193
United States_1997,United States,1997,0.00189,33.2,99.99243
United States_1998,United States,1998,0.00236,35.8,99.99309
United States_1999,United States,1999,0.00407,36,99.99352
United States_2000,United States,2000,0.00518,36.4,99.99381
United States_2001,United States,2001,0.00184,36,99.9927
United States_2002,United States,2002,0.00467,35.7,99.99366
United States_2003,United States,2003,0.00474,35.5,99.99367
United States_2004,United States,2004,0.00516,37.9,99.99386
United States_2005,United States,2005,0.0041,39.6,99.99363
United States_2006,United States,2006,0.00357,39.8,99.99349
United States_2007,United States,2007,0.00408,38,99.99358
Venezuela_1990,Venezuela,1990,0.0049,6.12,99.9865
Venezuela_1991,Venezuela,1991,0.00385,7.8,99.9865
Venezuela_1992,Venezuela,1992,0.003,10,99.9865
Venezuela_1993,Venezuela,1993,0.00336,8.92,99.9849
Venezuela_1994,Venezuela,1994,0.00375,7.99,99.9841
