dmu,country,continent,efficiency_crs,efficiency_vrs,income,hdi,hpi,cluster
Austria_2006,Austria,Europe,0.80838,0.82321,50.8,0.87,44.63927847,2
Austria_2007,Austria,Europe,0.71287,0.73072,52.6,0.89,45.06668899,2
Austria_2008,Austria,Europe,0.80783,0.84928,53.2,0.893,45.26612105,2
Austria_2009,Austria,Europe,0.79322,0.82681,51,0.895,47.83653761,2
Austria_2010,Austria,Europe,0.87978,0.95754,51.8,0.904,46.81811714,2
Austria_2011,Austria,Europe,0.79269,0.82759,53.2,0.906,46.88853818,2
Austria_2012,Austria,Europe,0.82571,0.88838,53.3,0.908,48.2825341,2
Austria_2013,Austria,Europe,0.83018,0.8987,53,0.905,48.46780631,2
Austria_2014,Austria,Europe,0.82447,0.90191,52.9,0.913,46.1909333,2
Austria_2015,Austria,Europe,0.83485,0.91582,52.9,0.915,47.03133872,2
Austria_2016,Austria,Europe,0.89077,1,53.3,0.917,46.93854373,2
Azerbaijan_1995,Azerbaijan,Asia,0.81373,0.81375,2.98,0.604,NA,5
Azerbaijan_1996,Azerbaijan,Asia,0.79978,0.79979,2.99,0.605,NA,5
Azerbaijan_1997,Azerbaijan,Asia,0.88216,0.88218,3.13,0.61,NA,5
Azerbaijan_1998,Azerbaijan,Asia,0.86382,0.86382,3.41,0.619,NA,5
Azerbaijan_1999,Azerbaijan,Asia,0.82899,0.84921,3.63,0.629,NA,5
Azerbaijan_2000,Azerbaijan,Asia,0.93933,1,4,0.635,NA,5
Azerbaijan_2001,Azerbaijan,Asia,0.80403,0.92109,4.36,0.643,NA,5
Azerbaijan_2002,Azerbaijan,Asia,0.83333,1,4.74,0.651,NA,5
Azerbaijan_2003,Azerbaijan,Asia,0.68004,0.84217,5.18,0.659,NA,5
Azerbaijan_2004,Azerbaijan,Asia,0.94349,0.97206,5.61,0.667,NA,5
Azerbaijan_2005,Azerbaijan,Asia,1,1,7.11,0.674,NA,5
Belarus_1998,Belarus,Europe,0.99999,1,7.29,0.674,NA,5
Belarus_1999,Belarus,Europe,1,1,7.58,0.679,NA,5
Belarus_2000,Belarus,Europe,1,1,8.05,0.686,NA,5
Belarus_2001,Belarus,Europe,1,1,8.48,0.692,NA,5
Belgium_1990,Belgium,Europe,0.90935,0.9438,35.5,0.813,NA,4
Belgium_1991,Belgium,Europe,0.87676,0.9074,36,0.817,NA,4
Belgium_1992,Belgium,Europe,0.80388,0.83404,36.4,0.832,NA,4
Belgium_1993,Belgium,Europe,0.80574,0.83034,35.9,0.845,NA,4
Belgium_1994,Belgium,Europe,0.79875,0.82189,37,0.852,NA,4
Belgium_1995,Belgium,Europe,0.8002,0.822,37.8,0.859,NA,4
Belgium_1996,Belgium,Europe,0.80119,0.82934,38.2,0.864,NA,4
Belgium_1997,Belgium,Europe,0.83814,0.86797,39.6,0.869,NA,4
Belgium_1998,Belgium,Europe,0.78577,0.81389,40.3,0.873,NA,4
Belgium_1999,Belgium,Europe,0.61966,0.70275,41.6,0.875,NA,4
Belgium_2000,Belgium,Europe,0.631,0.66965,43,0.88,NA,4
Belgium_2001,Belgium,Europe,0.66046,0.73740000000000006,43.3,0.883,NA,4
Belgium_2002,Belgium,Europe,0.80832,0.83876,43.9,0.886,NA,4
Belgium_2003,Belgium,Europe,0.7793,0.81112,44.2,0.889,NA,4
Belgium_2004,Belgium,Europe,0.76982,0.80145,45.5,0.893,NA,4
Belgium_2005,Belgium,Europe,0.8018,0.83308,46.3,0.897,NA,4
Belgium_2006,Belgium,Europe,0.77567,0.80678,47.2,0.904,NA,4
Belgium_2007,Belgium,Europe,0.74319,0.78734,48.6,0.907,41.22820157,4
Belgium_2008,Belgium,Europe,0.66406,0.77971,48.4,0.906,41.47323412,4
Belgium_2009,Belgium,Europe,0.76743,0.80998,47.1,0.907,42.44426093,4
Belgium_2010,Belgium,Europe,0.74154,0.87681,48,0.91,41.62212106,4
Belgium_2011,Belgium,Europe,0.72899,0.91589,48.2,0.911,43.66628423,4
Belgium_2012,Belgium,Europe,0.89792,0.94689,48.2,0.913,41.85343931,4
Belgium_2013,Belgium,Europe,0.96532,1,48.2,0.916,43.07968402,4
Belgium_2014,Belgium,Europe,0.93967,0.98619,48.7,0.918,42.59297496,4
Belgium_2015,Belgium,Europe,0.95853,1,49.5,0.922,44.62783153,4
Bulgaria_2006,Bulgaria,Europe,0.67894,0.76731,15.9,0.765,NA,5
Bulgaria_2007,Bulgaria,Europe,0.63725,0.71209,17.1,0.773,32.0694944,5
Bulgaria_2008,Bulgaria,Europe,0.73904,0.82432,18.3,0.78,31.03979196,5
Bulgaria_2009,Bulgaria,Europe,0.83732,0.91777,17.8,0.782,33.89132242,5
Bulgaria_2010,Bulgaria,Europe,0.88476,0.9954,18.2,0.788,34.15580378,5
Bulgaria_2011,Bulgaria,Europe,0.88832,0.99889,18.7,0.791,34.20894448,5
Bulgaria_2012,Bulgaria,Europe,0.89299,0.99237,18.9,0.795,36.51272783,5
Bulgaria_2013,Bulgaria,Europe,0.89436,1,18.9,0.801,36.05452786,5
Bulgaria_2014,Bulgaria,Europe,0.85787,0.96969,19.2,0.806,38.46135765,5
Canada_1990,Canada,Americas,0.6909,0.71447,34.6,0.85,NA,2
Canada_1991,Canada,Americas,0.69034,0.72033,33.5,0.854,NA,2
Canada_1992,Canada,Americas,0.68521,0.72605,33.4,0.857,NA,2
Canada_1993,Canada,Americas,0.68778,0.73659,33.9,0.855,NA,2
Canada_1994,Canada,Americas,0.68641,0.73696,35.1,0.859,NA,2
Canada_1995,Canada,Americas,0.68693,0.74157,35.6,0.862,NA,2
Canada_1996,Canada,Americas,0.70102,0.76711,35.8,0.864,NA,2
Canada_1997,Canada,Americas,0.69413,0.75911,34,0.863,NA,2
Canada_1998,Canada,Americas,0.69575,0.75719,34.7,0.861,NA,2
Canada_1999,Canada,Americas,0.71933,0.77694,35.8,0.864,NA,2
Canada_2000,Canada,Americas,0.70604,0.74818,37.2,0.867,NA,2
Canada_2001,Canada,Americas,0.75326,0.80888,37.3,0.871,NA,2
Canada_2002,Canada,Americas,0.7685,0.82102,38.2,0.877,NA,2
Canada_2003,Canada,Americas,0.78561,0.83489,39.3,0.882,NA,2
Canada_2004,Canada,Americas,0.80579,0.84181,40.4,0.888,NA,2
Canada_2005,Canada,Americas,0.79268,0.82424,42,0.894,NA,2
Chile_1990,Chile,Americas,0.88422,0.90881,9.85,0.706,NA,5
Chile_1991,Chile,Americas,0.8994,0.91629,10.4,0.715,NA,5
Chile_1992,Chile,Americas,0.90747,0.93431,11.4,0.722,NA,5
Chile_1993,Chile,Americas,0.90548,0.94848,12,0.715,NA,5
Chile_1994,Chile,Americas,0.87865,0.91126,12.4,0.72,NA,5
Colombia_1992,Colombia,Americas,0.98819,0.98901,8.48,0.617,NA,5
Colombia_1993,Colombia,Americas,0.99085,0.99163,8.77,0.624,NA,5
Colombia_1994,Colombia,Americas,0.98915,0.98986,9.1,0.631,NA,5
Costa Rica_1990,Costa Rica,Americas,1,1,9.93,0.665,NA,5
Costa Rica_1991,Costa Rica,Americas,0.99812,1,9.9,0.672,NA,5
Costa Rica_1992,Costa Rica,Americas,0.99627,1,10.5,0.68,NA,5
Costa Rica_1993,Costa Rica,Americas,0.99554,1,11,0.687,NA,5
Costa Rica_1994,Costa Rica,Americas,0.96509,0.97241,11.2,0.692,NA,5
Costa Rica_1995,Costa Rica,Americas,0.97119,0.97121,11.4,0.697,NA,5
Croatia_2009,Croatia,Europe,0.79554,0.85257,24.8,0.812,42.5667891,4
Croatia_2010,Croatia,Europe,0.83391,0.88695,24.5,0.815,44.5285375,4
Croatia_2011,Croatia,Europe,0.83921,0.89931,24.6,0.823,42.88971329,4
Croatia_2012,Croatia,Europe,0.85062,0.9081,24.1,0.825,47.03554175,4
Croatia_2013,Croatia,Europe,0.86318,0.92136,24.1,0.83,46.81625633,4
Croatia_2014,Croatia,Europe,0.83285,0.89985,24.1,0.835,44.87488339,4
Croatia_2015,Croatia,Europe,0.88382,0.96332,24.9,0.84,43.12976486,4
Croatia_2016,Croatia,Europe,0.88053,0.93561,25.9,0.841,43.70496939,4
Cyprus_2004,Cyprus,Asia,0.71828,0.75836,36.5,0.831,NA,4
Cyprus_2005,Cyprus,Asia,0.72711,0.76048,37.7,0.836,NA,4
Cyprus_2006,Cyprus,Asia,0.70319,0.73053,38.8,0.842,43.4482131,4
Cyprus_2007,Cyprus,Asia,0.69649,0.72332,40,0.849,44.03192499,4
Cyprus_2008,Cyprus,Asia,0.51972,0.54025,40.4,0.858,45.03960225,4
Cyprus_2009,Cyprus,Asia,0.42697,0.47471,38.5,0.862,47.66258685,1
Cyprus_2010,Cyprus,Asia,0.44183,0.67666,38.3,0.856,45.73346035,4
Cyprus_2011,Cyprus,Asia,0.45725,0.5217,37.5,0.86,49.46593357,1
Cyprus_2012,Cyprus,Asia,0.46242,0.55617,35.6,0.859,49.2382434,1
Cyprus_2013,Cyprus,Asia,0.47922,0.6293,33.4,0.86,48.45698791,4
Cyprus_2014,Cyprus,Asia,0.45529,0.609,33.1,0.862,48.90372753,1
Cyprus_2015,Cyprus,Asia,0.47263,0.60715,34.5,0.865,47.60420644,1
Cyprus_2016,Cyprus,Asia,0.58684,0.73777,36.5,0.873,49.05419209,4
Czechia_1993,Czechia,Europe,0.99253,1,20.8,0.743,NA,2
Czechia_1994,Czechia,Europe,1,1,21.4,0.752,NA,2
Czechia_1995,Czechia,Europe,0.94992,0.96824,22.8,0.761,NA,2
Czechia_1996,Czechia,Europe,0.99059,1,23.8,0.776,NA,2
Czechia_1997,Czechia,Europe,0.99429,1,23.7,0.782,NA,2
Czechia_1998,Czechia,Europe,0.93328,0.97561,23.6,0.783,NA,2
Czechia_1999,Czechia,Europe,0.88295,0.96397,23.9,0.793,NA,2
Czechia_2000,Czechia,Europe,0.88562,0.94335,25,0.804,NA,2
Czechia_2001,Czechia,Europe,0.8583,0.92494,25.8,0.814,NA,2
Czechia_2002,Czechia,Europe,0.81999,0.87909,26.3,0.821,NA,2
Czechia_2003,Czechia,Europe,0.87788,0.94754,27.2,0.83,NA,2
Czechia_2004,Czechia,Europe,0.82996,0.90501,28.5,0.834,NA,2
Czechia_2005,Czechia,Europe,0.81283,0.91148,30.4,0.843,NA,2
Czechia_2006,Czechia,Europe,0.86914,0.95091,32.4,0.852,NA,2
Czechia_2007,Czechia,Europe,0.86352,0.94646,34,0.858,40.08527772,2
Czechia_2008,Czechia,Europe,0.88908,0.9832,34.6,0.863,39.94546016,2
Czechia_2009,Czechia,Europe,0.87611000000000006,0.96301,32.8,0.866,42.17625515,2
Czechia_2010,Czechia,Europe,0.84558,0.92816,33.5,0.87,39.88784235,2
Czechia_2011,Czechia,Europe,0.86204,0.93132,34,0.874,40.84213716,2
Czechia_2012,Czechia,Europe,0.83657,0.91587,33.7,0.874,43.40103616,2
Czechia_2013,Czechia,Europe,0.84279,0.92196,33.7,0.882,44.84105919,2
Czechia_2014,Czechia,Europe,0.8644,0.98064,34.4,0.888,43.62884077,2
Czechia_2015,Czechia,Europe,0.9008,0.99338,36.2,0.891,44.39500336,2
Czechia_2016,Czechia,Europe,0.8829,1,37,0.893,45.00467855,2
Denmark_1990,Denmark,Europe,0.98443,1,39,0.806,NA,4
Denmark_1991,Denmark,Europe,0.89408,0.9029,39.5,0.811,NA,2
Denmark_1992,Denmark,Europe,0.952,0.95746,40.1,0.815,NA,4
