dmu,country,continent,efficiency_crs,efficiency_vrs,income,hdi,hpi,cluster
Greece_2013,Greece,Europe,0.76134,0.87865,27.8,0.867,41.34455959,4
Greece_2014,Greece,Europe,0.77282,0.88433,28.1,0.875,40.82456666,4
Greece_2015,Greece,Europe,0.78859,0.88929,28.3,0.877,46.06999201,4
Hungary_2004,Hungary,Europe,0.75249,0.79962,23.4,0.799,NA,5
Hungary_2005,Hungary,Europe,0.62798,0.66522,24.4,0.805,NA,5
Hungary_2006,Hungary,Europe,0.70182,0.74208,25.4,0.815,NA,4
Hungary_2007,Hungary,Europe,0.54909,0.68479,25.5,0.818,40.3184642,4
Hungary_2008,Hungary,Europe,0.5568,0.65256,25.8,0.822,38.11543518,4
Hungary_2009,Hungary,Europe,0.84965,0.93321,24.2,0.828,41.11391118,4
Hungary_2010,Hungary,Europe,1,1,24.5,0.831,41.11109611,4
Hungary_2011,Hungary,Europe,0.80536,0.88123,25,0.828,40.89134247,4
Hungary_2012,Hungary,Europe,0.82314,0.92346,24.8,0.831,41.81288482,4
Hungary_2013,Hungary,Europe,0.90496,0.97746,25.3,0.839,42.21356037,4
Hungary_2014,Hungary,Europe,0.79754,0.93583,26.5,0.838,42.58069492,4
Hungary_2015,Hungary,Europe,0.90981,0.9482,27.5,0.842,44.02126767,4
Hungary_2016,Hungary,Europe,0.6079,0.88759,28.2,0.844,43.31716346,4
Iceland_2003,Iceland,Europe,0.73078,0.8614,43.1,0.887,NA,4
Iceland_2004,Iceland,Europe,0.70923,0.82269,46.1,0.891,NA,4
Iceland_2005,Iceland,Europe,0.64366,0.71892,48.1,0.896,NA,2
Iceland_2006,Iceland,Europe,0.60958,0.68369,50,0.899,NA,2
Iceland_2007,Iceland,Europe,0.5633,0.61931,52.8,0.905,NA,2
Iceland_2008,Iceland,Europe,0.67963,0.78424,53,0.899,NA,4
Iceland_2009,Iceland,Europe,0.81167,0.91461,48.8,0.898,NA,4
Iceland_2010,Iceland,Europe,0.80365,0.95047,47.5,0.898,NA,4
Iceland_2011,Iceland,Europe,0.74972,0.88582,48.2,0.907,NA,4
Iceland_2012,Iceland,Europe,0.75012,0.89616,48.4,0.915,NA,4
Iceland_2013,Iceland,Europe,0.81254,1,50.2,0.927,NA,4
Iceland_2014,Iceland,Europe,0.78693,0.99798,50.5,0.931,NA,4
Iceland_2015,Iceland,Europe,0.78629,1,52.1,0.934,NA,4
Iceland_2016,Iceland,Europe,0.89333,1,54.7,0.941,NA,2
Ireland_1990,Ireland,Europe,0.83331,0.90537,26.4,0.773,NA,4
Ireland_1991,Ireland,Europe,0.7616,0.83757,26.8,0.777,NA,4
Ireland_1992,Ireland,Europe,0.81739,0.87401,27.5,0.782,NA,4
Ireland_1993,Ireland,Europe,0.85146,0.94095,28.1,0.791,NA,4
Ireland_1994,Ireland,Europe,0.8472,0.91773,29.6,0.798,NA,4
Ireland_1995,Ireland,Europe,0.83406,0.88739,32.3,0.805,NA,4
Ireland_1996,Ireland,Europe,0.83597,0.87678,34.4,0.811,NA,4
Ireland_1997,Ireland,Europe,0.85201,0.89065,37.8,0.819,NA,4
Ireland_1998,Ireland,Europe,0.79188,0.81425,40.7,0.851,NA,2
Ireland_1999,Ireland,Europe,0.76273,0.78956,44.5,0.859,NA,2
Ireland_2000,Ireland,Europe,0.73144,0.75982,48,0.867,NA,2
Ireland_2001,Ireland,Europe,0.87411,0.88007,49.7,0.873,NA,2
Ireland_2002,Ireland,Europe,0.8003,0.84442,51.8,0.881,NA,2
Ireland_2003,Ireland,Europe,0.82356,0.83559,52.5,0.889,NA,2
Ireland_2004,Ireland,Europe,0.96483,1,55,0.898,NA,2
Ireland_2005,Ireland,Europe,0.76697,0.777,56.9,0.904,NA,2
Ireland_2006,Ireland,Europe,0.83764,0.83764,58.2,0.906,44.82152648,2
Ireland_2007,Ireland,Europe,0.79521,0.86875,59.5,0.909,46.918696,2
Ireland_2008,Ireland,Europe,0.84809,0.84828,55.7,0.911,48.78800255,2
Ireland_2009,Ireland,Europe,0.82509,0.89428,52.3,0.906,49.51281272,2
Ireland_2010,Ireland,Europe,0.88784,0.97375,53,0.901,49.70944669,4
Ireland_2011,Ireland,Europe,0.91412,1,53.3,0.902,50.78617815,4
Ireland_2012,Ireland,Europe,0.8658,1,53,0.908,50.60202509,4
Ireland_2013,Ireland,Europe,0.85987,1,53.4,0.917,48.9578249,4
Israel_1995,Israel,Asia,0.67348,0.76965,26.2,0.832,NA,4
Israel_1996,Israel,Asia,0.67398,0.77974,27.1,0.836,NA,4
Israel_1997,Israel,Asia,0.67201,0.83803,27.5,0.844,NA,4
Israel_1998,Israel,Asia,0.66937,0.83126,28,0.852,NA,4
Israel_1999,Israel,Asia,0.67292,0.77437,28.2,0.859,NA,4
Israel_2000,Israel,Asia,0.65829,0.76161,29.9,0.861,NA,4
Israel_2001,Israel,Asia,0.6857,0.81895,29.3,0.865,NA,4
Israel_2002,Israel,Asia,0.68448,0.8145,28.6,0.873,NA,4
Israel_2003,Israel,Asia,0.70694,0.85139,28.5,0.874,NA,4
Israel_2004,Israel,Asia,0.76073,0.92075,29.3,0.876,NA,4
Israel_2005,Israel,Asia,0.73787,0.89431,30,0.88,NA,4
Israel_2006,Israel,Asia,0.70542,0.83859,31.2,0.88,48.09036197,4
Israel_2007,Israel,Asia,0.74312,0.8856,32.5,0.889,46.9613934,4
Israel_2008,Israel,Asia,0.76151,0.90814,33,0.889,50.25897669,4
Israel_2009,Israel,Asia,0.78223,0.95612,32.6,0.89,52.59424155,4
Israel_2010,Israel,Asia,0.77957,0.95518,33.9,0.895,50.72562633,4
Israel_2011,Israel,Asia,0.77453,0.94509,35.1,0.901,49.18901073,4
Israel_2012,Israel,Asia,0.78204,0.96983,35.4,0.903,46.60305366,4
Israel_2013,Israel,Asia,0.78335,0.97311,36.4,0.905,50.23117278,4
Israel_2014,Israel,Asia,0.80626,0.96584,37.2,0.909,54.94647139,4
Israel_2015,Israel,Asia,0.80084,1,37.3,0.91,48.53490883,4
Italy_1990,Italy,Europe,0.90822,0.93303,36.6,0.776,NA,4
Italy_1991,Italy,Europe,0.89175,0.91634,37.1,0.782,NA,4
Italy_1992,Italy,Europe,0.82764,0.8546,37.4,0.788,NA,4
Italy_1993,Italy,Europe,0.8941,0.9299,37.1,0.793,NA,4
Italy_1994,Italy,Europe,0.89972,0.93823,37.9,0.802,NA,4
Italy_1995,Italy,Europe,0.89881,0.93862,38.9,0.808,NA,4
Italy_1996,Italy,Europe,0.90932,0.95509,39.4,0.814,NA,4
Italy_1997,Italy,Europe,0.90558,0.95661,40.1,0.821,NA,4
Italy_1998,Italy,Europe,0.89036,0.94117,40.8,0.827,NA,4
Italy_1999,Italy,Europe,0.88002,0.93488,41.5,0.832,NA,4
Italy_2000,Italy,Europe,0.88753,0.9436,43.1,0.838,NA,4
Italy_2001,Italy,Europe,0.89805,0.95912,43.9,0.845,NA,4
Italy_2002,Italy,Europe,0.87697,0.94342,43.9,0.85,NA,4
Italy_2003,Italy,Europe,0.84889,0.91719,43.8,0.855,NA,4
Italy_2004,Italy,Europe,0.84412,0.91677,44.1,0.86,NA,4
Italy_2005,Italy,Europe,0.83609,0.90844,44.3,0.865,NA,4
Italy_2006,Italy,Europe,0.82644,0.89613,44.9,0.87,NA,4
Italy_2007,Italy,Europe,0.82635,0.89611,45.4,0.874,45.66885448,4
Italy_2008,Italy,Europe,0.85504,0.94182,44.6,0.876,48.34088863,4
Italy_2009,Italy,Europe,0.85747,0.94475,42.1,0.876,47.45438984,4
Italy_2010,Italy,Europe,0.87242,0.96543,42.7,0.879,46.40002935,4
Italy_2011,Italy,Europe,0.89348,0.99431,42.9,0.883,45.41231387,4
Italy_2012,Italy,Europe,0.90015,0.99715,41.5,0.882,46.41585398,4
Italy_2013,Italy,Europe,0.90068,0.99986,40.3,0.881,48.42445162,4
Italy_2014,Italy,Europe,0.90372,1,39.9,0.882,48.6776684,4
Italy_2015,Italy,Europe,0.89762,0.99376,40.2,0.882,47.31775428,4
Japan_2008,Japan,Asia,0.77396,0.96503,38.8,0.883,46.29341461,4
Japan_2009,Japan,Asia,0.79576,0.99767,36.6,0.882,47.33883978,4
Japan_2010,Japan,Asia,0.79701,1,38.1,0.887,47.60634967,4
Japan_2011,Japan,Asia,0.77423,0.98307,38.1,0.892,48.55175608,4
Japan_2012,Japan,Asia,0.76635,0.98308,38.7,0.897,46.78913529,4
Japan_2013,Japan,Asia,0.79577,1,39.6,0.902,46.87077455,4
Jordan_2008,Jordan,Asia,0.78514,0.8947,11.7,0.745,46.89296734,5
Jordan_2009,Jordan,Asia,0.81641,0.96112,11.7,0.743,54.7213551,5
Jordan_2010,Jordan,Asia,0.8565,0.97655,11.3,0.737,52.7815426,5
Kazakhstan_2000,Kazakhstan,Asia,0.81938,0.81943,10.3,0.685,NA,5
Kazakhstan_2001,Kazakhstan,Asia,0.78764,0.78766,11.7,0.7,NA,5
Kazakhstan_2002,Kazakhstan,Asia,0.83632,0.83633,12.8,0.714,NA,5
Kazakhstan_2003,Kazakhstan,Asia,0.88368,0.8837,14,0.726,NA,5
Kazakhstan_2004,Kazakhstan,Asia,0.89363,0.89816,15.2,0.737,NA,5
Kazakhstan_2005,Kazakhstan,Asia,1,1,16.5,0.747,NA,5
Kazakhstan_2006,Kazakhstan,Asia,1,1,18.1,0.754,33.04892621,5
Kazakhstan_2007,Kazakhstan,Asia,0.98566,0.98566,19.5,0.758,32.73526059,5
Kazakhstan_2008,Kazakhstan,Asia,1,1,19.8,0.758,32.89760038,5
Kazakhstan_2009,Kazakhstan,Asia,0.92279,0.93549,19.6,0.762,31.54887196,5
Kazakhstan_2010,Kazakhstan,Asia,0.99691,1,20.8,0.764,32.73506135,5
Kazakhstan_2011,Kazakhstan,Asia,0.97486,0.98803,22,0.772,30.83196769,2
Kazakhstan_2012,Kazakhstan,Asia,0.96228,0.97525,22.7,0.782,34.68310661,2
Kazakhstan_2013,Kazakhstan,Asia,0.98757,1,23.7,0.791,32.97416718,2
Kazakhstan_2014,Kazakhstan,Asia,0.98453,1,24.4,0.798,35.95344115,2
Kazakhstan_2015,Kazakhstan,Asia,0.9192,0.96858,24.3,0.806,35.56350402,2
Kyrgyzstan_2000,Kyrgyzstan,Asia,0.99568,0.99569,3.08,0.62,NA,5
Kyrgyzstan_2001,Kyrgyzstan,Asia,1,1,3.21,0.628,NA,5
Kyrgyzstan_2002,Kyrgyzstan,Asia,0.98693,0.98727,3.18,0.63,NA,5
Kyrgyzstan_2003,Kyrgyzstan,Asia,0.96492,0.9657,3.37,0.637,NA,5
Kyrgyzstan_2004,Kyrgyzstan,Asia,0.8794,0.8809,3.56,0.64,NA,5
Kyrgyzstan_2005,Kyrgyzstan,Asia,0.96684,0.96684,3.52,0.642,NA,5
Kyrgyzstan_2006,Kyrgyzstan,Asia,0.91003,0.91233,3.59,0.647,45.52971736,5
Kyrgyzstan_2007,Kyrgyzstan,Asia,0.91483,0.91841,3.86,0.654,45.08029723,5
Kyrgyzstan_2008,Kyrgyzstan,Asia,0.88325,0.88791,4.14,0.656,45.09527585,5
Kyrgyzstan_2009,Kyrgyzstan,Asia,0.93408,0.93659,4.21,0.661,47.36463989,5
Kyrgyzstan_2010,Kyrgyzstan,Asia,0.86935,0.87098,4.14,0.662,47.21619357,5
Kyrgyzstan_2011,Kyrgyzstan,Asia,0.84854,0.85017,4.34,0.664,46.55925389,5
Kyrgyzstan_2012,Kyrgyzstan,Asia,0.90766,0.91102,4.26,0.674,47.57703566,5
Kyrgyzstan_2013,Kyrgyzstan,Asia,0.86078,0.87221,4.63,0.68,49.10395033,5
Kyrgyzstan_2014,Kyrgyzstan,Asia,0.92235,0.97322,4.72,0.686,48.79378844,5
Kyrgyzstan_2015,Kyrgyzstan,Asia,0.76758,0.78292,4.81,0.69,46.26285961,5
Latvia_2004,Latvia,Europe,0.9803,0.98031,18.2,0.795,NA,5
Latvia_2005,Latvia,Europe,1,1,20.3,0.809,NA,5
Latvia_2006,Latvia,Europe,1,1,23,0.816,30.97373015,5
Latvia_2007,Latvia,Europe,1,1,25.5,0.825,29.29736653,5
Latvia_2008,Latvia,Europe,0.94603,0.94604,24.9,0.828,36.02830237,5
Latvia_2009,Latvia,Europe,0.95912,0.96653,21.7,0.826,34.56258642,5
Latvia_2010,Latvia,Europe,0.91055,0.95543,21.2,0.824,35.74551378,5
Latvia_2011,Latvia,Europe,0.89144,0.93583,22.1,0.829,34.84015373,5
Latvia_2012,Latvia,Europe,0.91501,0.94409,24,0.832,35.56833982,5
Latvia_2013,Latvia,Europe,0.93055,0.96996,24.7,0.839,34.64812349,5
Latvia_2014,Latvia,Europe,0.94466,1,25.4,0.845,36.79948262,5
Latvia_2015,Latvia,Europe,0.94047,0.97795,26.6,0.849,36.31080676,2
Lithuania_2004,Lithuania,Europe,0.90378,0.90378,19.2,0.805,NA,5
Lithuania_2005,Lithuania,Europe,0.89708,0.89957,21.1,0.817,NA,5
Lithuania_2006,Lithuania,Europe,0.87769,0.87952,23,0.826,40.55756034,5
Lithuania_2007,Lithuania,Europe,0.88586,0.88962,25.8,0.833,38.75950686,5
Lithuania_2008,Lithuania,Europe,0.93625,0.94049,26.8,0.838,37.54437925,5
Lithuania_2009,Lithuania,Europe,0.91744,0.92122,23.1,0.828,39.1220955,5
Lithuania_2010,Lithuania,Europe,0.84393,0.84598,23.9,0.831,35.7830111,5
Lithuania_2011,Lithuania,Europe,0.82744,0.82745,26,0.838,37.19639183,5
Lithuania_2012,Lithuania,Europe,0.84617,0.84617,27.3,0.841,38.62829304,5
Lithuania_2013,Lithuania,Europe,0.86321,0.86321,28.6,0.847,38.82579775,2
Lithuania_2014,Lithuania,Europe,0.94737,0.97386,29.9,0.859,39.85089963,2
Lithuania_2015,Lithuania,Europe,0.91876,0.9448,30.7,0.862,37.75359151,2
Lithuania_2016,Lithuania,Europe,0.91514,0.93761,31.9,0.867,38.76692009,2
Luxembourg_2002,Luxembourg,Europe,0.98001,0.98653,103,0.869,NA,3
Luxembourg_2003,Luxembourg,Europe,1,1,105,0.873,NA,3
Luxembourg_2004,Luxembourg,Europe,0.97943,1,108,0.876,NA,3
Luxembourg_2005,Luxembourg,Europe,1,1,109,0.88,NA,3
Luxembourg_2006,Luxembourg,Europe,0.97096,0.9789,113,0.884,NA,3
Luxembourg_2007,Luxembourg,Europe,1,1,121,0.888,NA,3
Luxembourg_2008,Luxembourg,Europe,0.87646,0.9912,118,0.89,NA,3
Luxembourg_2009,Luxembourg,Europe,0.88106,1,112,0.893,27.64663313,3
Luxembourg_2010,Luxembourg,Europe,0.81164,1,114,0.898,25.94504239,3
Luxembourg_2011,Luxembourg,Europe,0.82976,0.93374,113,0.899,26.59692463,3
Luxembourg_2012,Luxembourg,Europe,0.818,1,112,0.9,27.95102145,3
Luxembourg_2013,Luxembourg,Europe,0.84649,1,113,0.9,29.37193621,3
Luxembourg_2014,Luxembourg,Europe,0.9007,1,113,0.903,29.78092102,3
Luxembourg_2015,Luxembourg,Europe,0.95838,1,113,0.906,29.01207818,3
Malaysia_2007,Malaysia,Asia,0.75498,0.83742,19.5,0.75,45.6625597,5
Malaysia_2008,Malaysia,Asia,0.76514,0.86836,20.1,0.761,42.67154623,5
Malaysia_2009,Malaysia,Asia,0.75998,0.8786,19.4,0.765,43.13406449,5
Malaysia_2010,Malaysia,Asia,0.723,0.84221,20.5,0.772,43.34144094,5
Malaysia_2011,Malaysia,Asia,0.71659,0.83733,21.3,0.778,44.54936605,5
Malaysia_2012,Malaysia,Asia,0.72742,0.83532,22.1,0.781,45.05617904,5
Malaysia_2013,Malaysia,Asia,0.71542,0.84266,22.9,0.785,43.33374479,4
Malaysia_2014,Malaysia,Asia,0.71887,0.85032,23.9,0.791,44.09693314,4
Malta_2006,Malta,Europe,0.40036,0.6968,29.6,0.832,NA,1
Malta_2007,Malta,Europe,0.40656,0.65719,30.9,0.837,NA,1
Malta_2008,Malta,Europe,0.4108,0.64845,31.9,0.839,NA,1
Malta_2009,Malta,Europe,0.70015,0.78023,31.3,0.84,43.74276284,4
Malta_2010,Malta,Europe,0.47765,0.78161,32.9,0.853,41.49180131,4
Malta_2011,Malta,Europe,0.4772,0.82065,32.9,0.853,44.77389588,4
Malta_2012,Malta,Europe,0.60521,0.81449,33.9,0.86,43.39711246,4
Malta_2013,Malta,Europe,0.82031,0.91164,35.3,0.867,47.47692505,4
Malta_2014,Malta,Europe,0.86305,0.95758,37.2,0.874,47.07462229,4
Malta_2015,Malta,Europe,0.80539,1,39.8,0.88,47.88916061,4
Mexico_1990,Mexico,Americas,0.86254,0.86267,14.9,0.656,NA,5
Mexico_1991,Mexico,Americas,0.88015,0.88027,15.3,0.66,NA,5
Mexico_1992,Mexico,Americas,0.91562,0.91575,15.6,0.664,NA,5
Mexico_1993,Mexico,Americas,0.92981,0.92994,15.6,0.668,NA,5
Mexico_1994,Mexico,Americas,0.88177,0.88184,16.1,0.675,NA,5
Mexico_1995,Mexico,Americas,0.87262,0.87268,14.8,0.677,NA,5
Moldova_1997,Moldova,Europe,0.98653,0.98657,5.48,0.637,NA,5
Moldova_1998,Moldova,Europe,0.97709,0.97709,5.12,0.637,NA,5
Moldova_1999,Moldova,Europe,1,1,4.96,0.64,NA,5
Moldova_2000,Moldova,Europe,1,1,5.07,0.643,NA,5
Moldova_2001,Moldova,Europe,1,1,5.4,0.651,NA,5
Moldova_2002,Moldova,Europe,0.99703,0.99946,5.83,0.663,NA,5
Moldova_2003,Moldova,Europe,1,1,6.23,0.673,NA,5
Moldova_2004,Moldova,Europe,1,1,6.71,0.684,NA,5
Moldova_2005,Moldova,Europe,0.94955,0.94956,7.23,0.692,NA,5
Moldova_2006,Moldova,Europe,0.98961,0.98962,7.6,0.699,45.5768351,5
Moldova_2007,Moldova,Europe,1,1,7.85,0.704,44.6005938,5
Moldova_2008,Moldova,Europe,1,1,8.47,0.71,46.86922399,5
Moldova_2009,Moldova,Europe,1,1,7.98,0.706,50.75684801,5
Moldova_2010,Moldova,Europe,0.97711,0.97711,8.55,0.713,50.12640516,5
Moldova_2011,Moldova,Europe,1,1,9.05,0.719,52.0533336,5
Moldova_2012,Moldova,Europe,1,1,9,0.726,54.18247336,5
Moldova_2013,Moldova,Europe,1,1,9.82,0.735,52.23396355,5
Moldova_2014,Moldova,Europe,1,1,10.3,0.737,53.4184595,5
Moldova_2015,Moldova,Europe,0.99999,1,10.4,0.736,55.76270768,5
Moldova_2016,Moldova,Europe,1,1,10.9,0.738,51.55072489,5
Mongolia_2016,Mongolia,Asia,1,1,11,0.729,26.68082725,5
North Macedonia_2009,North Macedonia,Europe,0.87945,0.98553,13.1,0.739,38.00918871,5
North Macedonia_2010,North Macedonia,Europe,0.87892,0.93859,13.5,0.743,37.5320238,5
North Macedonia_2011,North Macedonia,Europe,0.83721,0.9278,13.8,0.747,40.96014975,5
North Macedonia_2012,North Macedonia,Europe,0.83048,0.90694,13.7,0.748,39.66909806,5
North Macedonia_2013,North Macedonia,Europe,0.83898,0.95434,14.1,0.751,44.7590922,5
Norway_1990,Norway,Europe,0.99627,1,42.1,0.849,NA,2
Norway_1991,Norway,Europe,0.98858,1,43.2,0.854,NA,2
Norway_1992,Norway,Europe,0.96273,1,44.5,0.861,NA,2
Norway_1993,Norway,Europe,0.93025,0.96343,45.5,0.869,NA,2
Norway_1994,Norway,Europe,0.92099,0.94324,47.5,0.883,NA,2
Norway_1995,Norway,Europe,0.92793,0.93608,49.3,0.881,NA,2
Norway_1996,Norway,Europe,0.92427,0.93401,51.5,0.887,NA,2
Norway_1997,Norway,Europe,0.93408,0.96203,53.9,0.893,NA,2
Norway_1998,Norway,Europe,0.90426,0.97087,55,0.904,NA,2
Norway_1999,Norway,Europe,0.92964,0.99747,55.7,0.909,NA,2
Norway_2000,Norway,Europe,0.93749,1,57.1,0.915,NA,2
Norway_2001,Norway,Europe,0.97913,1,58,0.914,NA,2
Norway_2002,Norway,Europe,0.96965,0.99814,58.5,0.917,NA,2
Norway_2003,Norway,Europe,0.9595,0.98393,58.7,0.923,NA,2
Norway_2004,Norway,Europe,0.93432,0.9454,60.7,0.932,NA,2
Norway_2005,Norway,Europe,0.92793,0.96489,61.9,0.931,NA,2
Norway_2006,Norway,Europe,0.98827,1,62.8,0.934,46.7034987,2
Norway_2007,Norway,Europe,0.97322,1,64.1,0.936,45.43732684,2
Norway_2008,Norway,Europe,0.93966,0.9867,63.6,0.937,45.88407427,2
Norway_2009,Norway,Europe,0.93994,1,61.7,0.937,48.9679754,2
Norway_2010,Norway,Europe,0.90807,1,61.4,0.94,46.52768177,2
Norway_2011,Norway,Europe,0.9372,1,61.2,0.942,49.02817741,2
Norway_2012,Norway,Europe,0.89399,1,62,0.941,49.91529734,2
Norway_2013,Norway,Europe,0.93026,1,61.9,0.944,48.94937498,2
Norway_2014,Norway,Europe,0.92905,1,62.4,0.944,48.6089607,2
Norway_2015,Norway,Europe,0.91529,1,63,0.947,50.67855619,2
Poland_2004,Poland,Europe,0.76178,0.83532,18.3,0.807,NA,5
Poland_2005,Poland,Europe,0.76535,0.84156,18.9,0.813,NA,5
Poland_2006,Poland,Europe,0.74833,0.82049,20.1,0.819,NA,2
Poland_2007,Poland,Europe,0.75735,0.82453,21.5,0.824,41.62402993,2
Poland_2008,Poland,Europe,0.7795,0.85154,22.4,0.829,41.68961774,2
Poland_2009,Poland,Europe,0.79192,0.86942,23.1,0.834,42.30492684,2
Poland_2010,Poland,Europe,0.77715,0.85668,24,0.84,42.27951743,2
Poland_2011,Poland,Europe,0.77298,0.83396,25.1,0.845,41.33808456,2
Poland_2012,Poland,Europe,0.76803,0.8627,25.5,0.842,43.81430297,2
Poland_2013,Poland,Europe,0.78929,0.8637,25.8,0.856,43.92657613,2
Poland_2014,Poland,Europe,0.76691,0.85403,26.6,0.858,43.82280871,2
Poland_2015,Poland,Europe,0.77535,0.86974,27.8,0.863,46.22308935,2
Portugal_2003,Portugal,Europe,0.7496,0.77746,30.4,0.805,NA,4
Portugal_2004,Portugal,Europe,0.78728,0.82545,30.9,0.809,NA,4
Portugal_2005,Portugal,Europe,0.78116,0.83698,31.1,0.813,NA,4
Portugal_2006,Portugal,Europe,0.76381,0.81312,31.5,0.811,42.20819008,4
Portugal_2007,Portugal,Europe,0.81119,0.865,32.3,0.814,43.20115217,4
Portugal_2008,Portugal,Europe,0.81907,0.8687,32.3,0.817,44.82936701,4
Portugal_2009,Portugal,Europe,0.84053,0.90593,31.3,0.823,43.61702095,4
Portugal_2010,Portugal,Europe,0.84447,0.90209,31.8,0.829,41.4679506,4
Portugal_2011,Portugal,Europe,0.85249,0.92501,31.3,0.833,44.06123755,4
Portugal_2012,Portugal,Europe,0.80929,0.89354,30.2,0.836,43.95476687,4
Portugal_2013,Portugal,Europe,0.8369,0.92935,30,0.84,45.43878599,4
Portugal_2014,Portugal,Europe,0.85586,0.95282,30.4,0.847,45.19988695,4
Romania_2006,Romania,Europe,0.87337,0.93219,18.2,0.774,NA,5
Romania_2007,Romania,Europe,0.90911,0.96294,19.8,0.788,44.68704846,5
Romania_2008,Romania,Europe,0.90206,0.942,22,0.803,43.33098155,5
Romania_2009,Romania,Europe,0.89361,0.94861,21,0.806,45.90643314,5
Romania_2010,Romania,Europe,0.87143,0.91479,20.3,0.805,43.24013303,5
Romania_2011,Romania,Europe,0.85986,0.91414,20.8,0.806,42.9666988,5
Romania_2012,Romania,Europe,0.85304,0.89682,21.3,0.803,45.30463355,5
Romania_2013,Romania,Europe,0.87029,0.91432,22.2,0.808,45.44009752,5
Romania_2014,Romania,Europe,0.86482,0.90868,23.1,0.811,49.60946631,5
Romania_2015,Romania,Europe,0.86167,0.91553,23.9,0.815,48.85549262,5
Romania_2016,Romania,Europe,0.85713,0.90609,25.1,0.82,49.55906318,5
Russia_1997,Russia,Europe,0.8302,0.83027,13,0.705,NA,5
Russia_1998,Russia,Europe,0.85654,0.85662,12.4,0.705,NA,5
Serbia_2012,Serbia,Europe,0.79245,0.83037,14.9,0.775,44.60895121,5
Serbia_2013,Serbia,Europe,0.77371,0.79567,15.4,0.778,43.9231078,5
Serbia_2014,Serbia,Europe,0.8052,0.82454,15.2,0.784,44.87933393,5
Serbia_2015,Serbia,Europe,0.76262,0.78793,15.6,0.789,46.18605787,5
Slovakia_2006,Slovakia,Europe,0.72345,0.80617,21.8,0.805,38.92892821,2
Slovakia_2007,Slovakia,Europe,0.74821,0.85644,24.1,0.816,37.88222539,2
Slovakia_2008,Slovakia,Europe,0.75513,0.84425,25.5,0.823,38.00147322,2
Slovakia_2009,Slovakia,Europe,0.77238,0.84275,24,0.825,42.37410523,2
Slovakia_2010,Slovakia,Europe,0.75827,0.82031,25.5,0.831,43.47464175,2
Slovakia_2011,Slovakia,Europe,0.74222,0.80643,26.2,0.838,42.15838315,2
Slovakia_2012,Slovakia,Europe,0.7845,0.83173,26.5,0.843,44.47779815,2
Slovakia_2013,Slovakia,Europe,0.7879,0.8191,26.6,0.845,43.96310545,2
Slovakia_2014,Slovakia,Europe,0.82058,0.8734,27.3,0.847,45.31613977,2
Slovenia_2004,Slovenia,Europe,0.8983,0.96234,30,0.864,NA,2
Slovenia_2005,Slovenia,Europe,0.89848,0.97825,31.1,0.869,NA,2
Slovenia_2006,Slovenia,Europe,0.90302,1,32.8,0.876,39.99413913,2
Slovenia_2007,Slovenia,Europe,0.87519,0.95435,34.9,0.88,39.58689112,2
Slovenia_2008,Slovenia,Europe,0.90869,1,36.1,0.886,40.11970985,2
Slovenia_2009,Slovenia,Europe,0.90695,1,33.1,0.885,43.19515453,2
Slovenia_2010,Slovenia,Europe,0.88387,1,33.4,0.889,43.97230959,2
Slovenia_2011,Slovenia,Europe,0.85296,0.99108,33.6,0.891,43.84567354,2
Slovenia_2012,Slovenia,Europe,0.84209,0.98607,32.6,0.884,45.61701713,2
Slovenia_2013,Slovenia,Europe,0.7995,0.97624,32.2,0.893,45.80257406,2
Slovenia_2014,Slovenia,Europe,0.82047,1,33.1,0.894,44.10026727,4
Slovenia_2015,Slovenia,Europe,0.81522,1,33.8,0.894,43.36917874,4
South Africa_2008,South Africa,Africa,0.84032,0.84034,13.8,0.646,29.82669651,5
South Korea_2006,South Korea,Asia,0.86425,0.91573,30,0.868,38.12709725,2
South Korea_2007,South Korea,Asia,0.85941,0.90962,31.6,0.875,40.12371658,2
South Korea_2008,South Korea,Asia,0.8649,0.91531,32.3,0.88,38.47842608,2
South Korea_2009,South Korea,Asia,0.86452,0.93861000000000006,32.4,0.877,40.89480118,2
South Korea_2010,South Korea,Asia,0.87111,0.933,34.4,0.889,42.02207695,2
South Korea_2011,South Korea,Asia,0.86797,0.93907,35.4,0.895,46.29525315,2
South Korea_2012,South Korea,Asia,0.86283,0.93427,36,0.898,41.81140804,2
South Korea_2013,South Korea,Asia,0.85765,0.93756,37,0.901,41.96072971,2
South Korea_2014,South Korea,Asia,0.86183,0.95464,38,0.904,41.48403146,2
South Korea_2015,South Korea,Asia,0.85888,0.96041,38.8,0.907,41.0529808,2
Spain_1990,Spain,Europe,0.85917,0.93674,27.5,0.761,NA,5
Spain_1991,Spain,Europe,0.85164,0.93108,28.2,0.77,NA,5
Spain_1992,Spain,Europe,0.84137,0.92023,28.3,0.779,NA,5
Spain_1993,Spain,Europe,0.85242,0.93144,27.9,0.789,NA,5
Spain_1994,Spain,Europe,0.83373,0.92164,28.4,0.798,NA,4
Spain_1995,Spain,Europe,0.81241,0.901,29,0.807,NA,4
Spain_1996,Spain,Europe,0.82394,0.90592,29.7,0.813,NA,4
Spain_1997,Spain,Europe,0.82262,0.91674,30.7,0.817,NA,4
Spain_1998,Spain,Europe,0.79095,0.88068,31.9,0.821,NA,4
