country,efficiency_crs,efficiency_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20
Albania,0.9476766666666666,0.992964,1.1342666666666668,7.1673333333333336,4.762000000000001,56.51041433333334,76.02,7.339333333333333,8.9,99.991366,8.72
Argentina,0.8739642857142857,0.8774742857142858,3.5828571428571427,11.697142857142858,1.69142857142857,32.009186428571425,73.04285714285714,16.62857142857143,8.14,99.99545142857143,4.335714285714285
Armenia,0.9545344444444445,0.99965,1.5132222222222222,5.276666666666666,5.392222222222222,32.83463827777778,73.63333333333333,8.252222222222223,11.072222222222223,99.99834200000001,8.408333333333333
Australia,0.8182373076923077,0.8710634615384616,17.85,40.45384615384615,2.769192307692308,14.960250007692308,80.25,39.38461538461539,12.01923076923077,99.99861346153847,7.430769230769231
Austria,0.8173444444444444,0.8518514814814815,8.388518518518518,27.20740740740741,2.390537037037038,55.131903703703706,79.07777777777778,47.025925925925925,10.138518518518518,99.99918525925926,8.217724867724868
Azerbaijan,0.8535181818181818,0.9040063636363637,3.7981818181818183,3.340909090909091,26.205454545454547,17.885053063636363,66.39090909090909,4.285454545454545,10.50909090909091,99.99570902597402,8.486363636363636
Belarus,0.9999975,1,5.75,0.04,1.6744999999999983,12.28260675,68.55,7.8500000000000005,8.875,99.9894,7.9
Belgium,0.7950946153846153,0.8451719230769231,11.38,21.857692307692307,13.011538461538462,96.56162888461539,78.65,43.33076923076923,10.426923076923076,99.99852823076922,8.752884615384616
Bulgaria,0.8123166666666667,0.9086488888888888,6.638888888888889,11.477777777777778,10.72777777777778,22.019671666666667,72.33333333333333,18.11111111111111,10.655555555555555,99.99867333333333,6.277777777777778
Canada,0.721855,0.7697087499999999,17.54375,31.26875,2.427749999999999,52.6065176875,78.8125,36.3,10.9675,99.9983275,7.324479166666666
Chile,0.895044,0.92383,2.454,11.612,2.5680000000000005,38.4522232,74.5,11.21,8.184,99.996914,3.59
Colombia,0.9893966666666667,0.9901666666666666,1.8233333333333335,6.49,1.486666666666667,14.378485333333334,71.63333333333333,8.783333333333333,5.833333333333333,99.91653333333333,3.375
Costa Rica,0.9877016666666667,0.9906033333333333,1.1856666666666666,5.915,2.715,25.116145500000002,76.85,10.655,7.12,99.99473833333333,3.8833333333333333
Croatia,0.8474575,0.90838375,4.52,14.9875,2.5001249999999997,70.16386775000001,77.45,24.625,11,99.999081875,7.05
Cyprus,0.5497876923076923,0.6404153846153846,7.046153846153846,37.292307692307695,107.03538461538461,110.81492676923077,79.34615384615384,36.98461538461538,11.438461538461539,99.99853430769231,8.353846153846154
Czechia,0.8900445833333334,0.9555891666666667,11.755,19.541666666666668,4.761,25.02037175,76.28333333333333,29.145833333333332,11.325,99.99889075,9.633333333333333
Denmark,0.9541519230769231,0.9844196153846154,10.173461538461538,22.176923076923078,2.3358076923076925,50.91311480769231,77.75384615384615,47.86153846153846,11.463846153846154,99.99910076923076,9.87923076923077
