rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,Moldova,0.9938455,NA,NA,NA,NA,NA,NA,NA,99,115,1,1,1,72,1,1,158,90,1,1,1,114,1,1,1,1,64,1
1,Mongolia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
34,North Macedonia,0.853008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363,365,512,534,504,NA,NA,NA
13,Norway,0.9416142307692308,75,94,139,200,222,205,215,192,268,202,186,113,126,143,191,205,95,118,179,177,258,187,307,198,203,235,NA
52,Poland,0.7711616666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,716,751,734,679,644,682,696,708,652,713,690,NA
46,Portugal,0.8126375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,657,675,718,591,570,499,486,457,596,513,447,NA,NA
26,Romania,0.8742172727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,254,275,309,391,424,452,393,403,418,440
37,Russia,0.84337,NA,NA,NA,NA,NA,NA,NA,536,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Serbia,0.783495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643,695,610,721,NA
53,Slovakia,0.7658488888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774,752,737,698,732,760,666,655,565,NA,NA
29,Slovenia,0.8670616666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,287,273,379,255,263,346,454,495,627,566,580,NA
38,South Africa,0.84032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA
32,South Korea,0.863335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407,427,402,404,392,398,414,438,417,432,NA
41,Spain,0.8208961538461539,428,462,496,458,528,586,554,559,649,676,736,673,684,646,630,628,604,632,603,502,513,480,459,430,396,421,NA
30,Sweden,0.8662715384615385,244,343,376,378,278,560,497,469,616,773,505,575,573,420,479,551,422,579,548,274,283,247,196,161,108,164,NA
8,Switzerland,0.9713195833333333,1,67,1,1,109,127,106,1,68,74,128,167,166,226,208,214,329,234,130,103,82,1,1,1,NA,NA,NA
17,Thailand,0.9187243478260869,NA,NA,NA,NA,1,71,1,70,209,299,246,330,356,358,334,337,302,232,213,221,331,195,314,350,245,291,240
45,Trinidad and Tobago,0.81639,464,762,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Tunisia,0.9209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,NA,NA
31,Turkey,0.8654885714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,473,482,406,384,336,341,NA
24,Ukraine,0.879976,NA,NA,NA,NA,NA,380,239,320,425,390,445,491,369,271,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,United Kingdom,0.8236692307692307,488,451,493,517,563,607,587,640,719,739,758,577,611,529,617,744,705,669,638,301,389,328,374,381,338,292,NA
54,United States,0.7648522222222223,709,668,699,648,701,706,730,741,759,754,733,691,683,686,735,742,750,704,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Venezuela,0.846046,297,515,583,506,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
