year,efficiency_crs,efficiency_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20
1990,0.0066360490761904764,0.006341663089047618,24.386068,84.32990476190476,1.085604033333334,690.4526251995525,5.538476190476198,156.26076904761905,3.7000833333333336,2.486942672854677e-5,5.028813035579311
1991,0.00712564067826087,0.006693370989328064,25.465003719367587,73.94646798418971,1.5863277272727274,648.157118925921,6.002015810276676,165.06615454545454,4.643557312252964,9.12269036689739e-5,5.449309149839119
1992,0.006312091207971014,0.005961170634057971,27.252350954710142,80.11614492753623,1.4856053735259085,661.1430120935272,6.632101449275361,171.0113679347826,4.643460144927536,3.7276189195474156e-4,5.317888812378817
1993,0.006228275158695653,0.005349968820108697,26.20259343297101,62.02843460144927,0.9805667266666671,816.6704550505315,5.415652173913042,156.79891884057972,4.571231884057971,3.854423902318269e-4,5.948557455855228
1994,0.006250372771014492,0.005331030703623189,25.40021739130435,59.81255,1.0939952590579711,897.3745912459485,5.571231884057966,158.8805884057971,4.230851449275362,2.507167563025736e-4,5.379401041666667
1995,0.007765425164333334,0.006260820474000001,21.392812666666668,70.73026666666667,7.174676143333337,1008.4304415397237,13.283333333333326,174.10061733333333,3.2813999999999997,2.1747851635007456e-5,3.9164395185185183
1996,0.009345955704347824,0.006850532225362319,23.53812525905797,74.29987753623189,14.645027824275365,1035.049131817935,13.175054347826094,191.4273043478261,2.718840579710145,1.170483323505094e-5,2.958738627214171
1997,0.009958544957666668,0.006126753340666668,23.49156516,98.26268233333333,28.221276309999986,903.2282712120157,17.928933333333323,233.08814566666666,2.512233333333333,7.85903625233266e-5,2.1610806527777777
1998,0.009326620378461539,0.006483612393846153,23.091676838461538,129.17096738461538,22.515132088384615,887.6776651013527,18.317538461538458,263.22012553846156,2.3656153846153845,3.4275792418456034e-5,2.0360210982905977
1999,0.011539309495384616,0.008495865640615385,25.896442713846156,132.77758584615384,92.35184862153845,774.3372783078381,17.131461538461533,294.09941615384616,2.3271384615384614,1.7099674132407845e-5,1.8100002745726498
2000,0.01130324646984127,0.010267292270238095,27.558947824074075,131.39274854497353,68.71800919311747,888.2023168335211,23.300780423280422,335.99730621693124,2.1063888888888886,1.8777452346562707e-5,1.5577860523221634
2001,0.009494341822619047,0.00659210080780423,27.065085174603176,129.69589206349207,50.91513442476759,789.47418337791,23.619616402116403,337.84886917989417,2.106706349206349,1.73382214443979e-5,1.5013237617577893
2002,0.008014629674470898,0.005402832986772487,33.199604691798946,281.9740268518519,53.995232379523806,831.3423398596483,22.513280423280428,497.68280039682537,2.0000396825396822,1.3051204747303636e-5,1.7374408436213997
2003,0.009111741232258065,0.005344483076559139,31.743022365591393,275.50499698924733,97.57926061290321,850.3100549875647,22.49890322580647,459.5162382795699,2.369462365591398,1.2866052242134548e-5,1.7790766129032258
2004,0.008150795859009009,0.005850741461111111,30.821885585585584,280.0356487987988,85.05866939189191,837.5600359126173,21.31546546546547,427.50378963963965,2.103918918918919,9.882479023523431e-6,1.8458558558558562
2005,0.012012918473253966,0.009585696993968253,30.631039682539683,308.5911761111111,70.94180623492063,863.1130507877915,21.0875873015873,426.4800968253968,2.091515873015873,9.233394372580504e-6,1.9233761022927691
2006,0.016811147544669364,0.009624046931309041,25.755451147098515,287.5382481781377,3471.833750406208,759.2925449176118,19.133859649122805,414.2152651821862,1.9802834008097168,7.456508215597845e-6,1.8079266006897585
2007,0.018917370296858974,0.011797107575384613,24.175230512820512,296.4275060897436,5072.637727071154,689.8020572596986,18.60583974358975,442.3704866025641,2.0468653846153844,6.094300182054469e-6,1.7519461805555554
2008,0.01720303264297329,0.01120014742833914,18.791664401858306,261.2420918118467,683.6732532921022,1023.3219997483717,30.205760743321722,414.3713233449477,1.9249767711962835,6.793108771196749e-6,2.2882694541231126
2009,0.00924683236888889,0.008327818305252524,16.933344646464647,209.2593582828283,1397.0045249839193,1096.39270428989,15.493888888888895,368.09645727272726,2.7973434343434342,3.7904498818228092e-6,1.9092644556677891
2010,0.012396337869133193,0.0052988400621564475,18.590662315010572,215.69525639534882,639.9642794857293,1306.778877478617,15.697145877378434,373.6039579281184,2.2785412262156446,3.557756864166012e-6,1.9464787408973452
2011,0.012997604384436702,0.0077918064644018565,16.497756387921022,249.31293937282229,637.5080759735714,1737.1509286072733,15.022189314750293,359.0846548199768,2.117212543554007,3.1150237620527653e-6,1.9269654552200284
2012,0.010072436244518273,0.006850142093023255,15.31113676633444,225.30993787375414,1832.7978192431572,1706.2781204350126,14.700110741971205,352.68907375415284,1.9377740863787376,2.571052891472112e-6,2.0689488741232926
2013,0.008424487680066445,0.005732623361129567,14.919046290143966,231.47917796234773,296.29297097009965,1909.9399681896268,14.013588039867106,351.9105854928018,1.9305426356589146,2.334394720926541e-6,1.9805045681063125
2014,0.009655144798920379,0.006127691983940622,14.761819973009446,246.16756072874495,1260.3516182523617,1542.6713038249459,13.63874493927126,339.2436809716599,1.9067341430499327,2.0529542199766626e-6,2.28834008097166
2015,0.01061039572348485,0.0075288744905303035,15.781517613636364,278.5066939393939,664.8539810018939,1524.4179923990127,13.512291666666673,383.4360996212121,1.8565530303030306,1.9404736041648032e-6,2.2867234848484848
2016,0.017861021378787877,0.0060583692022727256,8.93891515151515,109.39636363636363,525.8277103863636,1052.6692605472217,18.67719696969698,228.76454545454544,2.0790151515151516,1.9786949924198935e-06,1.891818181818182
