rank,country,average_efficiency,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
6,Moldova,0.9939705,NA,NA,NA,NA,NA,NA,NA,232,259,1,1,1,195,1,1,340,225,1,1,1,258,1,1,1,1,1,1
1,Mongolia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
23,North Macedonia,0.94264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,382,424,492,331,NA,NA,NA
14,Norway,0.9840842307692308,1,1,1,299,366,390,403,308,278,201,1,1,198,239,354,295,1,1,231,1,1,1,1,1,1,1,NA
50,Poland,0.8486391666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682,661,720,707,630,596,619,687,609,607,627,595,NA
44,Portugal,0.8746208333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,786,705,678,740,604,598,495,508,429,531,420,333,NA,NA
30,Romania,0.9232827272727272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409,305,367,342,469,474,521,473,486,466,494
53,Russia,0.843445,NA,NA,NA,NA,NA,NA,NA,697,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,Serbia,0.80962750000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,760,706,768,NA
55,Slovakia,0.8333977777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,751,622,652,656,721,750,691,728,589,NA,NA
12,Slovenia,0.9873608333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,255,1,330,1,1,1,218,235,263,1,1,NA
54,South Africa,0.84034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,NA,NA,NA,NA,NA,NA,NA,NA
28,South Korea,0.933822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465,483,467,381,408,378,401,386,328,313,NA
35,Spain,0.9044573076923077,388,414,444,411,436,510,496,457,568,601,690,615,643,639,633,632,628,648,603,336,384,310,316,254,204,296,NA
22,Sweden,0.9426553846153846,1,297,249,222,1,442,346,359,571,646,501,544,539,348,423,559,312,533,594,1,329,339,1,291,1,1,NA
16,Switzerland,0.97717625,1,1,1,1,213,1,1,1,1,1,251,335,344,405,415,425,538,453,244,1,1,1,1,1,NA,NA,NA
26,Thailand,0.9376639130434783,NA,NA,NA,NA,1,202,1,1,372,516,459,536,556,566,542,550,520,433,390,317,447,277,416,398,280,285,275
56,Trinidad and Tobago,0.8208566666666667,618,819,613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Tunisia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
27,Turkey,0.9373414285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,432,437,377,410,341,334,NA
41,Ukraine,0.880002,NA,NA,NA,NA,NA,584,470,537,614,592,623,654,578,503,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,United Kingdom,0.9128000000000001,356,332,419,517,534,588,560,580,664,712,731,468,526,439,562,698,663,625,579,1,1,207,1,219,1,1,NA
60,United States,0.7785677777777777,785,764,771,758,762,766,776,797,813,817,808,778,772,763,798,802,809,781,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Venezuela,0.851826,506,655,722,653,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
